x,UniqueID,date,try,cell_count,treatment,temperature,replicate
X,3,APRIL8,R4,150222,FULL,20,3
X,30,APRIL8,R1,5683,FULL,24,6
X,31,APRIL8,R1,11203,DEF,24,1
X,32,APRIL8,R1,10450,DEF,24,2
X,32,APRIL8,R2,4587,DEF,24,2
X,33,APRIL8,R1,5183,DEF,24,3
X,34,APRIL8,R1,6531,DEF,24,4
X,35,APRIL8,R1,20641,DEF,24,5
X,36,APRIL8,R1,13528,DEF,24,6
X,37,APRIL8,R1,37119,FULL,12,1
X,38,APRIL8,R1,42834,FULL,12,2
X,39,APRIL8,R1,271753,FULL,12,3
X,39,APRIL8,R2,27224,FULL,12,3
X,4,APRIL8,R1,208743,FULL,20,4
X,4,APRIL8,R2,128726,FULL,20,4
X,4,APRIL8,R3,108352,FULL,20,4
X,4,APRIL8,R4,124067,FULL,20,4
X,4,APRIL8,R5,86725,FULL,20,4
X,40,APRIL8,R1,75368,FULL,12,4
X,40,APRIL8,R2,17170,FULL,12,4
X,41,APRIL8,R1,21382,FULL,12,5
X,42,APRIL8,R1,90183,FULL,12,6
X,42,APRIL8,R2,116558,FULL,12,6
X,42,APRIL8,R3,71457,FULL,12,6
X,43,APRIL8,R1,35948,DEF,12,1
X,44,APRIL8,R1,79728,DEF,12,2
X,44,APRIL8,R2,312420,DEF,12,2
X,44,APRIL8,R3,138746,DEF,12,2
X,44,APRIL8,R4,74839,DEF,12,2
X,44,APRIL8,R5,29478,DEF,12,2
X,45,APRIL8,R1,153459,DEF,12,3
X,45,APRIL8,R2,53724,DEF,12,3
X,45,APRIL8,R3,23581,DEF,12,3
X,46,APRIL8,R1,97777,DEF,12,4
X,46,APRIL8,R2,29085,DEF,12,4
X,47,APRIL8,R1,25121,DEF,12,5
X,48,APRIL8,R1,44429,DEF,12,6
X,49,APRIL8,R1,107000,FULL,12,CONTROL
X,49,APRIL8,R2,24343,FULL,12,CONTROL
X,49,APRIL8,R3,52239,FULL,12,CONTROL
X,49,APRIL8,R4,47836,FULL,12,CONTROL
X,49,APRIL8,R5,46852,FULL,12,CONTROL
X,5,APRIL8,R1,146407,FULL,20,5
X,5,APRIL8,R2,175504,FULL,20,5
X,5,APRIL8,R3,112402,FULL,20,5
X,5,APRIL8,R4,138890,FULL,20,5
X,50,APRIL8,R1,26854,DEF,12,CONTROL
X,51,APRIL8,R1,26842,DEF,12,C1
X,52,APRIL8,R1,191514,DEF,12,C2
X,52,APRIL8,R2,64089,DEF,12,C2
X,53,APRIL8,R1,33764,DEF,12,C3
X,55,APRIL8,R1,16112,FULL,12,C2
X,56,APRIL8,R1,85060,FULL,12,C3
X,56,APRIL8,R2,28174,FULL,12,C3
X,57,APRIL8,R1,195391,DEF,16,C1
X,57,APRIL8,R2,317997,DEF,16,C1
X,57,APRIL8,R3,85285,DEF,16,C1
X,57,APRIL8,R4,86659,DEF,16,C1
X,57,APRIL8,R5,75709,DEF,16,C1
X,58,APRIL8,R1,92756,DEF,16,C2
X,58,APRIL8,R2,37553,DEF,16,C2
X,59,APRIL8,R1,104544,DEF,16,C3
X,59,APRIL8,R2,130106,DEF,16,C3
X,6,APRIL8,R1,612503,FULL,20,6
X,6,APRIL8,R2,169710,FULL,20,6
X,60,APRIL8,R1,247392,FULL,16,C1
X,60,APRIL8,R2,127772,FULL,16,C1
X,61,APRIL8,R1,148386,FULL,16,C2
X,62,APRIL8,R1,284944,FULL,16,C3
X,63,APRIL8,R1,113084,DEF,20,C1
X,63,APRIL8,R2,85472,DEF,20,C1
X,63,APRIL8,R3,67363,DEF,20,C1
X,64,APRIL8,R1,64577,DEF,20,C2
X,64,APRIL8,R2,125827,DEF,20,C2
X,64,APRIL8,R3,59029,DEF,20,C2
X,65,APRIL8,R1,140791,DEF,20,C3
X,65,APRIL8,R2,278953,DEF,20,C3
X,65,APRIL8,R3,135602,DEF,20,C3
X,65,APRIL8,R4,121967,DEF,20,C3
X,65,APRIL8,R5,134003,DEF,20,C3
X,66,APRIL8,R1,85180,FULL,20,C1
X,67,APRIL8,R1,79677,FULL,20,C2
X,67,APRIL8,R2,88312,FULL,20,C2
X,68,APRIL8,R1,346929,FULL,20,C3
X,68,APRIL8,R10,203684,FULL,20,C3
X,68,APRIL8,R2,351060,FULL,20,C3
X,68,APRIL8,R3,373934,FULL,20,C3
X,68,APRIL8,R4,220752,FULL,20,C3
X,68,APRIL8,R5,276031,FULL,20,C3
X,68,APRIL8,R6,161950,FULL,20,C3
X,68,APRIL8,R7,128106,FULL,20,C3
X,68,APRIL8,R8,89030,FULL,20,C3
X,68,APRIL8,R9,100079,FULL,20,C3
X,69,APRIL8,R1,62185,DEF,24,C1
X,69,APRIL8,R2,71087,DEF,24,C1
X,7,APRIL8,R1,241825,DEF,20,1
X,7,APRIL8,R2,319008,DEF,20,1
X,7,APRIL8,R3,239409,DEF,20,1
X,7,APRIL8,R4,290329,DEF,20,1
X,7,APRIL8,R5,296559,DEF,20,1
X,7,APRIL8,R6,315955,DEF,20,1
X,7,APRIL8,R7,198773,DEF,20,1
X,7,APRIL8,R8,211037,DEF,20,1
X,7,APRIL8,R9,144137,DEF,20,1
X,70,APRIL8,R1,162521,DEF,24,C2
X,70,APRIL8,R2,155480,DEF,24,C2
X,70,APRIL8,R3,255111,DEF,24,C2
X,70,APRIL8,R4,85078,DEF,24,C2
X,70,APRIL8,R5,82860,DEF,24,C2
X,70,APRIL8,R6,105508,DEF,24,C2
X,70,APRIL8,R7,105603,DEF,24,C2
X,70,APRIL8,R8,39890,DEF,24,C2
X,71,APRIL8,R1,94152,DEF,24,C3
X,71,APRIL8,R2,122338,DEF,24,C3
X,71,APRIL8,R3,90978,DEF,24,C3
X,71,APRIL8,R4,136084,DEF,24,C3
X,71,APRIL8,R5,181103,DEF,24,C3
X,71,APRIL8,R6,60224,DEF,24,C3
X,71,APRIL8,R7,117177,DEF,24,C3
X,71,APRIL8,R8,81755,DEF,24,C3
X,71,APRIL8,R9,47193,DEF,24,C3
X,72,APRIL8,R1,187789,FULL,24,C1
X,72,APRIL8,R2,55567,FULL,24,C1
X,73,APRIL8,R1,62635,FULL,24,C2
X,74,APRIL8,R1,96776,FULL,24,C3
X,74,APRIL8,R2,200835,FULL,24,C3
X,74,APRIL8,R3,67593,FULL,24,C3
X,74,APRIL8,R4,74222,FULL,24,C3
X,8,APRIL8,R1,143156,DEF,20,2
X,8,APRIL8,R2,110847,DEF,20,2
X,8,APRIL8,R3,124465,DEF,20,2
X,9,APRIL8,R1,345417,DEF,20,3
X,9,APRIL8,R2,339709,DEF,20,3
