ID,P,temp,replicate,date,daydiff,days,cellcon,vol_cell,biovol
17,FULL,16,5,APRIL15,3,17,436,479.1,208887.6
18,FULL,16,6,APRIL15,3,17,20432,2198.06,44910761.92
19,DEF,16,1,APRIL15,3,17,34534,2580.45,89113260.3
20,DEF,16,2,APRIL15,3,17,25699,1715.21,44079181.79
21,DEF,16,3,APRIL15,3,17,23395,647.43,15146624.85
22,DEF,16,4,APRIL15,3,17,5409,920.98,4981580.82
23,DEF,16,5,APRIL15,3,17,5706,2182.51,12453402.06
24,DEF,16,6,APRIL15,3,17,5674,7361.5,41769151
25,FULL,24,1,APRIL15,3,17,4701,2216.12,10417980.12
26,FULL,24,2,APRIL15,3,17,2724,2042.15,5562816.6
27,FULL,24,3,APRIL15,3,17,3240,622.67,2017450.8
28,FULL,24,4,APRIL15,3,17,5460,575.64,3142994.4
29,FULL,24,5,APRIL15,3,17,3937,2283.96,8991950.52
30,FULL,24,6,APRIL15,3,17,3526,2231.77,7869221.02
31,DEF,24,1,APRIL15,3,17,7046,531.99,3748401.54
32,DEF,24,2,APRIL15,3,17,5741,3475.86,19954912.26
33,DEF,24,3,APRIL15,3,17,3767,4119.91,15519700.97
34,DEF,24,4,APRIL15,3,17,6738,796.56,5367221.28
35,DEF,24,5,APRIL15,3,17,4461,1377.13,6143376.93
36,DEF,24,6,APRIL15,3,14,4224,797.01,3366570.24
37,FULL,12,1,APRIL15,3,17,84022,1508.31,126731222.82
38,FULL,12,2,APRIL15,3,17,21477,2065.21,44354515.17
39,FULL,12,3,APRIL15,3,17,42395,1844.6,78201817
40,FULL,12,4,APRIL15,3,17,98431,1297.47,127711269.57
41,FULL,12,5,APRIL15,3,17,27485,1455.94,40016510.9
42,FULL,12,6,APRIL15,3,17,53016,1914.94,101522459.04
43,DEF,12,1,APRIL15,3,17,26958,3853.71,103888314.18
44,DEF,12,2,APRIL15,3,17,78576,1538.17,120863245.92
45,DEF,12,3,APRIL15,3,17,17578,1572.26,27637186.28
46,DEF,12,4,APRIL15,7,17,159328,1611.42,256744325.76
47,DEF,12,5,APRIL15,3,17,92222,1938.31,178754824.82
48,DEF,12,6,APRIL15,3,17,123815,1919.35,237644320.25
49,FULL,12,C4,APRIL15,3,14,84966,1148.48,97581751.68
50,DEF,12,C4,APRIL15,3,14,76232,1337.22,101938955.04
51,DEF,12,C1,APRIL15,3,17,135744,2541.03,344929576.32
52,DEF,12,C2,APRIL15,3,14,71744,2212.14,158707772.16
53,DEF,12,C3,APRIL15,3,14,131574,1630.8,214570879.2
54,FULL,12,C1,APRIL15,3,17,135797,1933.8,262604238.6
55,FULL,12,C2,APRIL15,3,14,93030,1663.55,154760056.5
56,FULL,12,C3,APRIL15,3,14,61026,1433.63,87488704.38
57,DEF,16,C1,APRIL15,3,14,34996,2624.63,91851551.48
58,DEF,16,C2,APRIL15,3,14,45423,1056.84,48004843.32
59,DEF,16,C3,APRIL15,3,14,36829,2113.85,77850981.65
60,FULL,16,C1,APRIL15,3,14,26480,1141.21,30219240.8
61,FULL,16,C2,APRIL15,3,14,108621,623.28,67701296.88
62,FULL,16,C3,APRIL15,3,14,50981,1214.99,61941405.19
63,DEF,20,C1,APRIL15,3,10,9785,1650.74,16152490.9
64,DEF,20,C2,APRIL15,3,10,69616,2440.65,169908290.4
65,DEF,20,C3,APRIL15,3,10,14734,1697.57,25011996.38
66,FULL,20,C1,APRIL15,3,10,22450,1689.14,37921193
67,FULL,20,C2,APRIL15,3,10,15003,1271.93,19082765.79
68,FULL,20,C3,APRIL15,3,10,27171,1024.74,27843210.54
69,DEF,24,C1,APRIL15,3,10,7592,1333.22,10121806.24
70,DEF,24,C2,APRIL15,3,10,8236,557.48,4591405.28
71,DEF,24,C3,APRIL15,3,10,10933,904.55,9889445.15
72,FULL,24,C1,APRIL15,3,10,4183,1013.08,4237713.64
73,FULL,24,C2,APRIL15,3,10,9199,778.23,7158937.77
74,FULL,24,C3,APRIL15,3,10,12073,683.95,8257328.35
1,FULL,20,1,APRIL19,4,21,1136,1112.61,1263924.96
2,FULL,20,2,APRIL19,4,21,578636,954.72,552435361.92
3,FULL,20,3,APRIL19,4,21,60681,2685.17,162938800.77
4,FULL,20,4,APRIL19,4,21,28929,2178.16,63011990.64
5,FULL,20,5,APRIL19,4,21,15664,2459.63,38527644.32
6,FULL,20,6,APRIL19,4,21,16512,1520.81,25111614.72
7,DEF,20,1,APRIL19,4,21,860,2814.85,2420771
8,DEF,20,2,APRIL19,4,21,22775,1650.87,37598564.25
9,DEF,20,3,APRIL19,4,21,7453,1131.52,8433218.56
10,DEF,20,4,APRIL19,4,21,12377,2984.82,36943117.14
11,DEF,20,5,APRIL19,4,21,2733,653.17,1785113.61
