UniqueID,P,temp,replicate.x,date,cellcon,vol_cell,biovol,treatment,temperature,replicate.y,pp_carbon,Weight_before1,Weight_before2,Weight_after1,Weight_after2,Weight_after3,difference,sample_weight,sample_weight_adjusted,daph_c,total_algal_c,CRR_c
27,FULL,24,3,MAY4,161,294.9,47478.9,FULL,24,3,4890.3267,55.0216,NA,58.7586,58.7693,NA,0.0107,3.74235,NA,1.49694,1222581.675,1.22440899500641e-06
28,FULL,24,4,MAY4,2338,719.47,1682120.86,FULL,24,4,173258.44858,58.6616,NA,60.164,60.1699,NA,0.0059,1.50535,NA,0.60214,43314612.145,1.39015443099035e-08
29,FULL,24,5,MAY4,1743,803.15,1399890.45,FULL,24,5,144188.71635,56.7019,NA,59.246,59.2496,59.2713,0.0036,2.5459,NA,1.01836,36047179.0875,2.82507543108452e-08
30,FULL,24,6,MAY4,846,521.85,441485.1,FULL,24,6,45472.9653,56.221,56.2082,58.0948,58.0885,NA,-0.0063,1.87065,NA,0.74826,11368241.325,6.58202072430056e-08
31,DEF,24,1,MAY4,1514,800.01,1211215.14,DEF,24,1,124755.15942,58.718,NA,59.9641,59.9593,NA,-0.0048,1.2437,NA,0.49748,31188789.855,1.59506028388032e-08
32,DEF,24,2,MAY4,2763,1213.63,3353259.69,DEF,24,2,345385.74807,56.7239,NA,58.2749,58.2792,NA,0.0043,1.55315,NA,0.62126,86346437.0175,7.19496972265443e-09
33,DEF,24,3,MAY4,4833,1150.79,5561768.07,DEF,24,3,572862.11121,56.8714,56.874,58.948,58.9578,58.9723,0.0098,2.0815,NA,0.8326,143215527.8025,5.81361541430193e-09
34,DEF,24,4,MAY4,2782,1044.79,2906605.78,DEF,24,4,299380.39534,58.5278,NA,59.1931,59.1977,NA,0.0046,0.6676,NA,0.26704,74845098.835,3.56790229629737e-09
35,DEF,24,5,MAY4,3359,790.16,2654147.44,DEF,24,5,273377.18632,58.0228,NA,58.4922,58.49,NA,-0.0022,0.4683,NA,0.18732,68344296.58,2.74082856029886e-09
36,DEF,24,6,MAY4,2086,860.32,1794627.52,DEF,24,6,184846.63456,56.2714,NA,57.3815,57.3849,NA,0.0034,1.1118,NA,0.44472,46211658.64,9.62354550968353e-09
37,FULL,12,1,MAY4,13163,855.79,11264763.77,FULL,12,1,1160270.66831,57.007,NA,57.4424,57.4453,NA,0.0029,0.43685,NA,0.17474,290067667.0775,6.02411160680357e-10
38,FULL,12,2,MAY4,10283,764.44,7860736.52,FULL,12,2,809655.86156,58.2885,NA,58.3053,58.3072,NA,0.0019,0.01775,NA,0.0071,202413965.39,3.50766311322448e-11
39,FULL,12,3,MAY4,27110,810.49,21972383.9,FULL,12,3,2263155.5417,56.6458,NA,56.7759,56.777,NA,0.0011,0.13065,NA,0.05226,565788885.425,9.23666076627578e-11
40,FULL,12,4,MAY4,11442,455.73,5214462.66,FULL,12,4,537089.65398,57.6588,57.6514,57.745,57.733,NA,-0.012,0.0802,NA,0.03208,134272413.495,2.38917281405645e-10
41,FULL,12,5,MAY4,11127,873.16,9715651.32,FULL,12,5,1000712.08596,58.8316,NA,59.1808,59.1816,NA,8e-04,0.3496,NA,0.13984,250178021.49,5.58961971028257e-10
42,FULL,12,6,MAY4,23395,833.45,19498562.75,FULL,12,6,2008351.96325,56.9069,NA,57.0174,57.0166,NA,-8e-04,0.1101,NA,0.04404,502087990.8125,8.77137091622778e-11
43,DEF,12,1,MAY4,1060,1567.29,1661327.4,DEF,12,1,171116.7222,59.6965,NA,61.1429,61.1287,61.1641,-0.0142,1.4393,NA,0.57572,42779180.55,1.34579482963004e-08
44,DEF,12,2,MAY4,8591,755.89,6493850.99,DEF,12,2,668866.65197,57.7292,NA,57.7326,57.75,NA,0.0174,0.0121,NA,0.00484,167216662.9925,2.89444838414045e-11
45,DEF,12,3,MAY4,6208,765.97,4755141.76,DEF,12,3,489779.60128,58.2752,NA,58.3001,58.2888,NA,-0.0113,0.01925,NA,0.0077,122444900.32,6.28854283018457e-11
46,DEF,12,4,MAY4,2683,545.91,1464676.53,DEF,12,4,150861.68259,58.0429,NA,58.0217,58.0409,NA,0.0192,-0.0116,NA,-0.00464,37715420.6475,-1.23026600799892e-10
47,DEF,12,5,MAY4,4739,698.51,3310238.89,DEF,12,5,340954.60567,56.1696,NA,56.2023,56.2026,NA,3e-04,0.03285,NA,0.01314,85238651.4175,1.54155418715391e-10
48,DEF,12,6,MAY4,1214,574.91,697940.74,DEF,12,6,71887.89622,57.5048,57.5229,57.5283,57.5283,NA,0,0.0235,NA,0.0094,17971974.055,5.23036588592493e-10
