"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"13",13,"FULL",16,0.1,58075051.603082,15.9214306838783,1000,0.0131889467584077,0.24131775031337,22671926.0683824,3.23017632224742,20671672.35,13
"14",14,"FULL",16,0.1,773209317.105346,14.0562873329602,1e+05,0.143893725772808,2,34964736.8370769,3.44407546071305,475581388.3,32
"15",15,"FULL",16,0.8207544977199,31688876.4162755,108.018768784011,1e+05,0.0188410345128799,2,31686031.980606,22.4394003967243,8936715.48,38
"16",16,"FULL",16,0.1,19684696.353134,10.2255222057756,1e+05,0.201569520317648,2,13027587.3583814,10.2841360737023,647945.44,54
"17",17,"FULL",16,0.1,19968410.4875309,14.297248264372,1000,0.0187225463073986,0.251256413376299,13140904.7467617,18.0096872384818,12095493.24,25
"18",18,"FULL",16,2,49155349.2165734,10.4003617417841,1e+05,0.195823325176678,2,49155199.5690237,29.304394379777,8388288.6,47
"19",19,"DEF",16,2,50096684.4243001,11.2888073359735,13593.2856884786,0.00313209294626629,1e-06,50096486.5323328,35.6890293201247,7576664.89,39
"20",20,"DEF",16,2,114030913.724752,89.4976395363926,1e+05,0.0228997631287274,2,114028707.646804,50.5177295918061,2090511.01,76
"21",21,"DEF",16,0.1,25496360.0778921,98.1270364257879,1e+05,0.0204836015724712,2,15242327.0886328,1.81668983533546,14299649.2,11
"22",22,"DEF",16,2,38947808.6071636,23.7435308769937,1000,0.0190886507732765,0.434643223128594,38947579.0762567,19.5141595562014,1834452.85,17
"23",23,"DEF",16,2,55392067.3819768,11.8949814882483,1000,0.00517640088888262,0.11075722725364,55392057.0034266,1.70214567764395,16500291.9,0
"24",24,"DEF",16,0.869898428518108,52906596.0375742,111.063069639104,1e+05,0.0181277389817298,2,52905164.8800994,11.3533462122643,10657255.84,25
"25",25,"FULL",24,0.1,7501464.65341546,119.294322748581,1e+05,0.0173310884773959,2,6351806.01156827,8.31192613750373,729881.28,58
"26",26,"FULL",24,0.199925000172227,10025535.0007029,109.232878252662,1e+05,0.0189626363312756,2,9946254.10077088,25.9572031163255,10532418.48,72
"27",27,"FULL",24,2,19454828.5807909,13.2446228180077,1000,0.156578367500345,2,19453922.0927971,141.930250826179,47478.9,164
"28",28,"FULL",24,0.644812368599058,18001347.6343696,13.1486112019956,1e+05,0.157377131723753,2,18000225.8300733,60.2784848461466,1682120.86,75
"29",29,"FULL",24,0.1,4581886.55935878,13.8932043841869,1e+05,0.150321360828822,2,4171636.07932504,11.1944599423541,1399890.45,65
"30",30,"FULL",24,0.351683173168004,9201600.02373619,11.8518100451149,1000,0.022508716431421,0.200767901147497,9198310.52230528,107.437172747545,441485.1,138
"31",31,"DEF",24,0.1,5815638.86580444,13.0591669878452,1e+05,0.159674327577033,2,5137312.6275724,12.6971673302695,1211215.14,50
"32",32,"DEF",24,0.1,9160368.64806242,13.4441332274772,1e+05,0.153578087559096,2,7487815.07802152,8.61287515357138,3353259.69,55
"33",33,"DEF",24,0.232460998437424,5306125.89978206,12.8402144820855,9999.83993962891,0.0177720139212291,0.193300001003001,5299164.02276012,34.3120333605574,5561768.07,38
"34",34,"DEF",24,0.659135781853196,8421530.84068042,14.2799932906166,1e+05,0.145213716907299,2,8420623.87293192,45.5258402638458,2906605.78,71
"35",35,"DEF",24,0.1,1e+06,130.453122555781,1e+05,0.0167034599238911,2,993178.344056495,4.82075793534296,2654147.44,35
"36",36,"DEF",24,0.111795430580343,2201666.63697086,15.9982634753089,1e+05,0.131981603306828,2,2154248.03884307,8.23660821420017,1794627.52,42
"37",37,"FULL",12,0.1,21492207.4318759,11.2657199098196,1e+05,0.17649300053458,2,13775175.256788,0.824410632710079,11264763.77,7
"38",38,"FULL",12,0.1,22291824.1101955,13.0316481227785,1000,0,0.0401529554321542,14087036.4500252,2.35626725990906,7860736.52,3
"39",39,"FULL",12,0.1,23895414.6842426,119.273423421874,1000,0,0.00529043007265001,14616793.385507,8.26582554203312,21972383.9,7
"40",40,"FULL",12,0.1,25353283.2318356,106.386947657288,1e+05,0.0186644982561876,2,15194722.5761721,0.774765651049486,5214462.66,3
"41",41,"FULL",12,0.1,22820451.792092,10,1000,0.0143145992649096,0.17410910496248,14291547.8611279,3.2751250487621,9715651.32,5
"42",42,"FULL",12,0.1,22663433.1781981,10,1000,0.00923541900752338,0.15304199201995,14232584.4801375,1.12391598056017,19498562.75,5
"43",43,"DEF",12,0.1,29448314.3723252,10.1054196114372,98031.6747809785,0,0.04597523334801,16563510.5122577,1.910713423249,1661327.4,4
"44",44,"DEF",12,0.1,30937434.8880432,13.6911696575649,1000,0.0153652936895679,0.241168444262593,17007939.5005344,3.29226064467355,6493850.99,0
"45",45,"DEF",12,2,21389177.6627409,14.4309067804773,1000,0.00814400786692761,0.133647997384994,21389136.9640714,5.5952524660938,4755141.76,0
"46",46,"DEF",12,0.1,28918525.7344235,133.230764623674,1e+05,0.0149756075577978,2,16360928.5714543,1.1072619458202,1464676.53,0
"47",47,"DEF",12,0.1,22621667.5562933,169.936531689155,1e+05,0.0118063153028399,2,14174361.4944829,1.55233899033987,3310238.89,0
"48",48,"DEF",12,0.1,22297669.0974537,10,1000,0.00518939755615767,0.211314421920875,14093002.4625087,0.0321572694320427,697940.74,0
