"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"21",21,"DEF",16,0.05,21740943.6848642,27.2709706378752,1e+05,0.018510580594404,0.5,4895851.50442951,5.13286743986418,14299649.2,11
"22",22,"DEF",16,1,38398084.5271403,10.7285299280892,10000,0.020355500857589,0.199750142459844,38397879.4252079,19.4775580431801,1834452.85,17
"23",23,"DEF",16,1,53199684.1223616,25.1853255576776,10000,0.0138666937178426,0.39835545825409,53199639.1942032,1.69648018314112,16500291.9,0
"24",24,"DEF",16,0.998134014489043,52656837.0035089,11.1740796290385,1e+05,0.0456753041976839,0.5,52656688.8977291,13.379748362251,10657255.84,25
"25",25,"FULL",24,0.05,5164308.50720102,35.3806826469965,1e+05,0.0156309699272837,0.5,3040065.40302866,23.2255647033063,729881.28,58
"26",26,"FULL",24,0.268887426521943,11503345.4110623,29.2724162011467,1e+05,0.0190613210095743,0.5,11490647.468835,56.713567972527,10532418.48,72
"27",27,"FULL",24,1,19350490.4153185,10,10000,0.0175974948819466,0.102170126509693,19349170.0927058,141.829709107013,47478.9,164
"28",28,"FULL",24,0.863169892826873,18354181.3222618,14.1024048877804,1e+05,0.0397977870736687,0.5,18353013.812265,76.6899470057669,1682120.86,75
"29",29,"FULL",24,0.05,2731456.25547633,28.6870624956132,1e+05,0.0197407998045373,0.5,2110319.51464045,30.7918762668985,1399890.45,65
"30",30,"FULL",24,0.352219152467228,9204062.23194675,10,10000,0.0174290004770163,0.108140490282856,9201270.16183433,106.994205832092,441485.1,138
"31",31,"DEF",24,0.173955777779305,8575946.51499465,18.4996441872341,1e+05,0.0304678689012675,0.5,8448614.83178724,59.8632570289159,1211215.14,50
"32",32,"DEF",24,0.0500329459558053,6471143.22835319,14.2388986640968,36621.1078800201,0.0203107449264652,0.240785369887583,3386325.20554534,46.5962512120759,3353259.69,55
"33",33,"DEF",24,0.446250901955724,5946177.94392607,27.7013154132579,1e+05,0.0196015069906491,0.5,5944418.22797436,30.9583271122934,5561768.07,38
"34",34,"DEF",24,1,8760126.32342361,34.1027151843212,1e+05,0.0163139436108304,0.5,8758266.43962106,57.9110605351738,2906605.78,71
"35",35,"DEF",24,0.05,2413351.38811225,29.414971124744,1e+05,0.0186447532921841,0.5,1947590.13288081,16.099509678039,2654147.44,35
"36",36,"DEF",24,0.413785550042005,8456869.97064933,15.5744222109713,1e+05,0.0353511555753183,0.5,8455373.00843797,43.8899326452131,1794627.52,42
"37",37,"FULL",12,0.05,14225034.2304978,13.0544675301717,14214.4053551114,0.036956861320525,0.5,4458497.89843281,4.7020562942939,11264763.77,7
"38",38,"FULL",12,0.05,17763214.8835525,10.0113441055716,10000,0.00597964501760779,0.1,4706318.57950675,2.33289758310489,7860736.52,3
"39",39,"FULL",12,0.05,17694615.7524527,11.360978205965,10000,0.00833899593272845,0.1,4699258.09700815,8.13706381910892,21972383.9,7
"40",40,"FULL",12,0.05,21682493.1996032,12.09523260804,1e+05,0.0397361787856659,0.5,4902226.96202393,2.23893371122711,5214462.66,3
"41",41,"FULL",12,0.058178269006214,22778574.1684081,10.2773759538301,10000,0.00671898830278925,0.1,6181064.01091728,3.24633567016876,9715651.32,5
"42",42,"FULL",12,0.05,19596339.548432,10.8586473401718,10000,0.00362099279998067,0.1,4806251.90409053,1.11757099742476,19498562.75,5
"43",43,"DEF",12,0.05,20530956.1547751,11.7151138679894,10000,0.00461261074655009,0.1,4850533.54784208,1.89353735148795,1661327.4,4
"44",44,"DEF",12,0.05,25018577.5459799,10,10000,0.00692138280383502,0.1,5028479.90929539,3.2617280500504,6493850.99,0
"45",45,"DEF",12,1,21327738.6298148,10,10000,0.00839103545135195,0.1,21327681.8303773,5.5909369350184,4755141.76,0
"46",46,"DEF",12,0.05,23781817.5597295,10.3710636527505,1e+05,0.0473296070754631,0.5,4985550.30064581,3.19390754009562,1464676.53,0
"47",47,"DEF",12,0.05,19326435.6821819,16.6803134637219,1e+05,0.0300065242351488,0.5,4788830.4813805,4.4105270492238,3310238.89,0
"48",48,"DEF",12,0.05,17606947.4350835,30.4517244499651,10000.1265834962,0,0.159420162562861,4695858.15304155,0.0321757968284839,697940.74,0
