"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"29",29,"FULL",24,0.218484022213017,1e+07,14.6586083789573,10000.2603986778,0.0167526396562611,0.190167780670181,9961604.01225443,72.110049994958,1399890.45,65
"30",30,"FULL",24,0.415420042934995,1e+07,116.652189359167,1000,0.0177122287465109,2,9973993.75264734,106.995550046482,441485.1,138
"31",31,"DEF",24,0.202593134522361,1e+07,17.023202994913,1e+05,0.121977896893432,2,9936995.68376444,31.4616770856743,1211215.14,50
"32",32,"DEF",24,0.1,1e+07,12.0560663487551,1e+05,0.171149664066365,2,8023877.00786335,8.62084182467902,3353259.69,55
"33",33,"DEF",24,0.254590527783627,1e+07,13.600087888052,10000.2508952673,0.0165717419895916,0.190770647370068,9988965.23537307,34.2057763195079,5561768.07,38
"34",34,"DEF",24,0.229928490515689,1e+07,13.4890618134495,10000.3812607754,0.0176548501772946,0.187737599574685,9974209.32795081,60.3105415545442,2906605.78,71
"35",35,"DEF",24,0.22794983458266,1e+07,12.9783233024456,10000.4613708575,0.0172838390478613,0.187737394284579,9973641.37179161,36.6905277050885,2654147.44,35
"36",36,"DEF",24,0.3033419934618,1e+07,12.7842221445381,10015.7787825586,0.0178485228985387,0.183409164281038,9996555.8813406,49.3707386468672,1794627.52,42
"37",37,"FULL",12,0.1,21495232.1906561,150.175458546209,1e+05,0.0132399884537084,2,13744799.7559447,0.81894172001164,11264763.77,7
"38",38,"FULL",12,0.1,22291600.1703315,0,1107.99733721911,0.0139571662757061,0.0401530531525912,14092857.8376942,2.35625897072574,7860736.52,3
"39",39,"FULL",12,0.1,23894542.9255712,11.2264029057969,1000,0,0.00529094735507666,14691481.4554258,8.26567161587973,21972383.9,7
"40",40,"FULL",12,0.1,25293751.6227042,13.999119755304,1e+05,0.14184255967735,2,15198685.4074125,0.778142359229558,5214462.66,3
"41",41,"FULL",12,0.2301632324376,25790040.1468447,13.639616790134,9999.97268829099,0.0120540907572828,0.195679113949082,25629562.247478,3.21519710994415,9715651.32,5
"42",42,"FULL",12,0.211338905565121,24541338.8398398,13.0175813297793,9999.97716745253,0.0104581810195515,0.196298560440286,24257617.0882322,1.13740011444406,19498562.75,5
"43",43,"DEF",12,0.1,26278677.3598706,0,1007.32166499774,0.0136547539831514,0.0459753316270986,15543005.7391312,1.91070666305891,1661327.4,4
"44",44,"DEF",12,0.1,30937262.3181789,10.6834101319306,1000,0.0138791734063114,0.179078289970843,17009937.401949,3.29421219140398,6493850.99,0
"45",45,"DEF",12,5,21392240.4844414,4.93995184300669,1000,0.0203415201858595,0.116609513705313,21392234.9385517,5.59545712079157,4755141.76,0
"46",46,"DEF",12,0.1,28918013.5591411,120.844786841394,1e+05,0.0165105303149606,2,16364825.8655003,1.10792917554663,1464676.53,0
"47",47,"DEF",12,0.1,22616325.6189868,85.1513361011075,1e+05,0.0235618241437652,2,14195324.3484264,1.55889342949517,3310238.89,0
"48",48,"DEF",12,0.1,22297549.7193972,0,70443.4771942112,0.00864382657092834,0.159420941870675,14095170.5552728,0.0321748941465499,697940.74,0
