Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
84,25.44,0.43,84.81,96.71,117.88,0.56,0.71,1.34,5.69,7.12,1.57,0.64,9.08,5.79,101.12,9.72,29.73,1.06,33.81,17392.00,0.20,9.650727e+001,3.04
85,108.11,0.83,164.21,164.11,159.56,0.84,0.97,1.34,11.73,12.82,1.58,0.63,15.83,10.03,162.67,14.42,51.72,1.12,44.66,84587.00,0.08,8.455569e+002,11.22
86,195.78,0.53,148.57,159.00,161.47,0.52,0.80,1.95,15.79,19.28,3.87,0.26,32.49,8.39,158.27,24.79,81.77,1.47,31.04,135956.00,0.18,2.060737e+003,12.05
87,46.82,0.87,136.56,139.32,134.85,0.75,0.92,1.94,7.72,9.60,3.84,0.26,17.73,4.62,137.45,11.16,44.69,1.23,45.58,36837.00,0.20,2.410132e+002,8.22
88,70.02,0.69,153.33,162.31,160.54,0.74,0.92,1.35,9.44,10.69,1.62,0.62,13.46,8.30,160.72,13.07,43.52,1.10,49.35,58823.00,0.12,4.407997e+002,8.03
89,153.91,0.78,141.17,145.69,141.43,0.67,0.94,1.93,14.00,16.04,3.81,0.26,28.52,7.48,143.64,19.41,72.01,1.27,47.23,100406.00,0.13,1.436414e+003,12.86
90,149.77,0.69,148.61,160.35,163.56,0.68,0.91,1.91,13.81,15.75,3.74,0.27,27.92,7.47,159.96,19.08,70.77,1.27,50.73,109251.00,0.12,1.378786e+003,11.95
91,83.44,0.59,139.41,137.64,141.49,0.63,0.86,1.35,10.31,11.85,1.63,0.61,14.47,8.89,131.94,14.23,46.71,1.09,18.87,55548.00,0.13,5.733710e+002,8.33
92,54.75,0.47,161.45,159.26,162.12,0.55,0.76,1.35,8.35,9.96,1.63,0.61,12.26,7.52,144.71,13.35,39.56,1.07,8.10,43701.00,0.16,3.047547e+002,5.10
93,69.30,0.76,155.77,157.81,155.67,0.80,0.95,1.35,9.39,10.44,1.63,0.61,13.46,8.23,156.80,11.91,43.39,1.12,43.88,56918.00,0.10,4.339742e+002,8.55
94,39.73,0.73,172.63,168.80,162.46,0.79,0.94,1.35,7.11,8.14,1.64,0.61,10.88,6.65,167.29,9.67,35.06,1.12,51.09,39648.00,0.13,1.884022e+002,5.80
95,152.88,0.87,155.77,165.78,161.68,0.85,0.98,1.35,13.95,15.04,1.64,0.61,18.63,11.39,163.39,16.43,60.05,1.13,47.14,113558.00,0.07,1.421922e+003,13.41
96,65.21,0.56,134.29,140.50,140.10,0.56,0.81,1.89,9.11,11.35,3.68,0.27,19.72,5.36,139.47,14.93,50.16,1.20,51.51,48257.00,0.20,3.961133e+002,7.47
97,39.05,0.78,153.04,147.51,142.49,0.63,0.85,1.88,7.05,9.44,3.62,0.28,17.30,4.78,146.44,10.13,44.17,1.61,27.07,34267.00,0.25,1.836003e+002,8.47
98,42.00,0.81,161.29,165.86,159.68,0.82,0.95,1.36,7.31,8.28,1.65,0.60,11.17,6.75,163.49,9.44,35.84,1.12,46.18,40381.00,0.12,2.047821e+002,6.94
99,83.44,0.71,145.62,147.19,142.43,0.64,0.86,1.87,10.31,12.16,3.61,0.28,21.55,5.97,144.72,13.46,55.03,1.24,41.61,60928.00,0.15,5.733710e+002,10.18
100,80.00,0.89,152.93,148.19,143.42,0.86,0.98,1.36,10.09,11.21,1.67,0.60,14.40,8.63,147.28,12.23,46.06,1.12,47.11,59943.00,0.10,5.383104e+002,9.59
101,151.84,0.92,143.46,155.86,155.77,0.80,0.97,1.87,13.90,15.41,3.60,0.28,27.57,7.65,154.35,16.43,70.45,1.29,54.68,106656.00,0.10,1.407487e+003,14.09
102,45.90,0.74,148.39,149.85,149.90,0.79,0.94,1.36,7.64,8.61,1.68,0.59,11.65,6.92,149.67,9.88,37.14,1.13,48.53,39513.00,0.11,2.339235e+002,7.33
103,39.28,0.72,141.62,140.81,143.86,0.74,0.91,1.36,7.07,8.31,1.69,0.59,11.02,6.51,141.57,9.46,35.06,1.10,50.87,33269.00,0.15,1.851951e+002,7.13
104,104.58,0.67,153.94,156.52,159.04,0.51,0.85,1.86,11.54,14.62,3.55,0.28,24.77,6.98,153.13,17.67,63.50,1.59,24.17,77486.00,0.21,8.045701e+002,10.96
105,64.73,0.71,154.97,158.31,156.23,0.76,0.93,1.37,9.08,10.25,1.71,0.59,13.40,7.84,157.16,12.15,42.48,1.12,47.87,54063.00,0.11,3.917513e+002,7.46
106,101.07,0.72,174.54,173.71,164.45,0.75,0.94,1.37,11.34,12.60,1.71,0.58,16.03,9.37,171.02,14.93,50.80,1.12,46.54,84143.00,0.10,7.643867e+002,9.87
107,92.84,0.45,105.45,97.34,97.92,0.48,0.73,1.37,10.87,13.06,1.71,0.58,15.48,9.05,95.45,17.22,49.07,1.05,27.05,43813.00,0.17,6.729097e+002,6.66
108,53.34,0.53,139.25,138.03,134.53,0.57,0.78,1.84,8.24,10.59,3.50,0.29,17.79,5.08,136.87,13.24,45.74,1.17,52.39,40514.00,0.22,2.930614e+002,7.46
109,47.05,0.46,164.98,164.91,168.20,0.56,0.76,1.37,7.74,9.29,1.72,0.58,11.89,6.91,152.63,12.23,37.60,1.08,7.02,41057.00,0.17,2.427994e+002,4.79
110,68.33,0.64,142.62,132.31,133.42,0.64,0.84,1.84,9.33,11.24,3.48,0.29,19.53,5.61,130.79,13.98,50.29,1.22,28.25,46953.00,0.17,4.249404e+002,8.06
111,74.15,0.60,149.30,147.34,138.87,0.66,0.87,1.38,9.72,11.18,1.75,0.57,14.30,8.18,145.03,14.17,44.95,1.10,49.16,55548.00,0.13,4.802822e+002,7.46
112,115.43,0.70,165.40,160.80,153.34,0.62,0.90,1.83,12.12,14.57,3.47,0.29,24.65,7.10,159.02,18.17,63.50,1.42,43.75,87303.00,0.17,9.329708e+002,10.88
113,29.09,0.74,126.30,125.57,123.95,0.76,0.90,1.38,6.09,7.18,1.76,0.57,10.08,5.72,124.86,8.25,31.61,1.11,42.34,23598.00,0.15,1.180067e+002,6.09
114,46.36,0.49,164.67,162.52,164.34,0.58,0.78,1.38,7.68,9.12,1.77,0.56,12.00,6.77,150.21,11.92,37.54,1.09,7.74,39955.00,0.16,2.374574e+002,5.12
115,53.81,0.81,161.60,152.60,152.75,0.71,0.90,1.82,8.28,10.43,3.44,0.29,18.50,5.38,153.45,12.27,47.76,1.57,34.92,45727.00,0.21,2.969383e+002,8.88
116,22.91,0.84,160.87,162.63,162.13,0.74,0.90,1.82,5.40,6.71,3.43,0.29,12.95,3.77,162.25,7.45,33.44,1.23,30.71,25960.00,0.20,8.247342e+001,6.15
117,59.24,0.81,164.43,166.50,163.44,0.82,0.96,1.39,8.68,9.59,1.80,0.56,13.27,7.39,165.33,10.79,41.31,1.15,52.59,53070.00,0.09,3.430086e+002,8.03
118,132.00,0.52,135.49,145.84,142.50,0.51,0.80,1.82,12.96,15.93,3.41,0.29,25.53,7.49,143.64,19.83,66.03,1.29,31.16,88193.00,0.19,1.140835e+003,9.82
119,30.83,0.94,164.41,165.77,158.48,0.82,0.96,1.39,6.27,7.17,1.81,0.55,10.43,5.77,163.40,7.71,32.40,1.14,40.12,32190.00,0.13,1.287626e+002,6.49
120,44.06,0.85,164.43,154.86,149.05,0.82,0.96,1.39,7.49,8.53,1.82,0.55,11.91,6.56,154.20,10.13,36.95,1.13,42.40,39475.00,0.12,2.200088e+002,6.85
121,49.60,0.50,168.81,162.87,164.92,0.60,0.79,1.39,7.95,9.37,1.82,0.55,12.46,6.86,146.26,12.04,38.65,1.10,9.38,40954.00,0.15,2.628054e+002,5.39
122,46.13,0.73,165.14,157.54,151.12,0.76,0.93,1.39,7.66,8.72,1.82,0.55,12.12,6.67,156.44,10.67,37.60,1.13,44.38,41457.00,0.12,2.356877e+002,6.35
123,81.23,0.98,164.96,163.43,161.53,0.77,0.95,1.81,10.17,12.11,3.39,0.30,20.87,6.16,162.95,13.24,54.06,1.34,31.63,67137.00,0.16,5.507307e+002,10.96
124,128.67,0.76,160.60,169.11,165.31,0.77,0.95,1.39,12.80,14.10,1.82,0.55,18.30,10.03,166.88,15.86,56.65,1.13,45.71,100293.00,0.09,1.097971e+003,11.23
125,70.02,0.80,164.45,171.24,170.17,0.80,0.95,1.39,9.44,10.67,1.83,0.55,14.30,7.82,170.14,11.92,44.23,1.12,55.45,62270.00,0.12,4.407997e+002,8.01
126,48.21,0.72,165.32,169.55,167.88,0.70,0.90,1.81,7.83,9.80,3.38,0.30,16.81,4.98,168.26,12.48,43.58,1.19,49.06,46102.00,0.20,2.518118e+002,7.46
127,55.46,0.71,159.74,167.34,167.62,0.75,0.92,1.39,8.40,9.68,1.84,0.54,13.08,7.12,166.41,11.00,40.40,1.11,49.67,50756.00,0.13,3.106716e+002,8.28
128,130.46,0.84,166.30,171.24,165.41,0.82,0.97,1.40,12.89,14.03,1.84,0.54,18.48,10.05,168.78,16.06,57.05,1.14,48.90,102621.00,0.08,1.120972e+003,12.56
129,51.47,0.76,155.86,156.09,151.28,0.78,0.94,1.40,8.10,9.21,1.85,0.54,12.75,6.90,154.64,10.78,39.29,1.13,42.20,44535.00,0.12,2.777638e+002,7.53
130,59.24,0.84,158.83,162.03,157.97,0.83,0.97,1.40,8.68,9.76,1.85,0.54,13.48,7.27,160.45,11.35,41.50,1.14,53.52,51505.00,0.11,3.430086e+002,8.21
131,208.74,0.62,132.08,146.68,150.53,0.61,0.87,1.80,16.30,18.95,3.37,0.30,31.08,9.23,146.10,23.32,80.61,1.44,32.03,132658.00,0.14,2.268628e+003,13.85
132,47.98,0.68,176.96,173.53,164.89,0.71,0.89,1.79,7.82,9.58,3.31,0.30,16.61,5.02,171.33,11.52,43.26,1.20,47.43,46772.00,0.18,2.499984e+002,7.07
133,139.45,0.65,135.81,144.33,141.70,0.68,0.90,1.40,13.32,14.85,1.87,0.54,19.15,10.25,142.58,18.44,58.81,1.12,42.69,91676.00,0.10,1.238725e+003,11.65
134,63.77,0.77,159.37,161.03,156.19,0.70,0.93,1.79,9.01,10.25,3.31,0.30,18.53,5.60,159.25,12.15,48.27,1.26,52.45,54145.00,0.12,3.830860e+002,8.23
135,124.33,0.81,159.96,169.09,170.68,0.82,0.97,1.41,12.58,13.64,1.89,0.53,18.35,9.72,168.37,15.23,56.14,1.15,48.73,98327.00,0.08,1.042882e+003,11.70
136,23.12,0.74,160.39,150.43,150.22,0.70,0.87,1.78,5.43,6.80,3.29,0.30,12.72,3.86,151.48,8.23,33.18,1.21,35.51,24388.00,0.20,8.360601e+001,5.47
137,73.90,0.57,151.76,157.31,157.52,0.60,0.83,1.77,9.70,11.48,3.27,0.31,19.52,5.98,156.60,14.17,50.99,1.21,41.49,59820.00,0.16,4.779222e+002,7.83
138,95.33,0.73,153.16,151.12,142.08,0.73,0.93,1.76,11.02,12.81,3.22,0.31,21.84,6.78,148.51,15.37,57.24,1.40,50.18,69649.00,0.14,7.001436e+002,10.22
