"","ssq","phosphorus","temperature","transformedtemperature","r","K","a","eps","m"
"84",127.033387407419,"DEF",12,-40.6835983666349,4.31174818584383,37043657656681.9,515.450006756858,1e-17,0.0233493122637464
"85",127.033361532419,"DEF",12,-40.6835983666349,0.942849386653988,91803585453677,908.582074965329,1e-17,0.0233491971635478
"86",127.033368086151,"DEF",12,-40.6835983666349,0.120419912919963,93714853358561.9,757.142168046984,1e-17,0.0233491944749171
"87",127.033360825724,"DEF",12,-40.6835983666349,2.80044872858455,23094801353184.2,931.101175094972,1e-17,0.0233491989497785
"88",127.03338799181,"DEF",12,-40.6835983666349,7.76683354831723,19655537383223.1,342.915622316601,1e-17,0.0233492845650271
"89",127.033361131399,"DEF",12,-40.6835983666349,5.65254609330798,56697696259163.3,921.526345105977,1e-17,0.0233491944970364
"90",127.033388043666,"DEF",12,-40.6835983666349,5.77583488476782,94519997013929.7,334.522794543701,1e-17,0.0233492843396196
"91",127.033360810162,"DEF",12,-40.6835983666349,2.53677306878056,70458422795472.3,931.5857212049,1e-17,0.023349192840915
"92",127.033387583431,"DEF",12,-40.6835983666349,5.84080417828492,94828053584888.8,438.885906163655,1e-17,0.0233492852655758
"93",127.033388329097,"DEF",12,-40.6835983666349,7.61890966416987,52306317206897.3,298.193422818446,1e-17,0.023349284480229
"94",127.033388456431,"DEF",12,-40.6835983666349,6.80022021165233,4266057394415.02,285.261029820275,1e-17,0.0233492841055004
"95",127.033388520825,"DEF",12,-40.6835983666349,8.57104674091574,26298309689787.2,279.552346332397,1e-17,0.0233492843913201
"96",127.033388175024,"DEF",12,-40.6835983666349,5.53177540853416,58353485153637,316.115119901517,1e-17,0.0233492839262884
"97",127.033387534306,"DEF",12,-40.6835983666349,3.61656637932284,30899800333633.4,456.574376339679,1e-17,0.0233492841846171
"98",127.033368427457,"DEF",12,-40.6835983666349,4.99072450000968,62302796523480.8,751.676767737412,1e-17,0.0233492099220095
"99",127.0333877447,"DEF",12,-40.6835983666349,9.84192350184569,16568464566349.9,392.549223186628,1e-17,0.023349284257224
"100",127.033362535347,"DEF",12,-40.6835983666349,1.18674878762008,79827607846793,879.501645200491,1e-17,0.0233492036143052
"101",108.176620950635,"DEF",16,-40.1207956916685,0.328312967810938,67906760256598.6,633.179328105296,1.4709747222958e-14,0.001
"102",108.17651142681,"DEF",16,-40.1207956916685,7.54158285955147,89280818664042.8,306.515097308303,1e-13,0.001
"103",108.176565644658,"DEF",16,-40.1207956916685,7.01040312964475,96639422141376.4,411.383710419127,5.78117990170535e-14,0.001
"104",108.176585665036,"DEF",16,-40.1207956916685,2.62506723316698,56720767654092.5,476.790124819433,4.22519515133502e-14,0.001
"105",108.176511736216,"DEF",16,-40.1207956916685,2.68349378804027,68622372389950.6,438.987252675345,1e-13,0.001
"106",108.176599352709,"DEF",16,-40.1207956916685,2.09204265638255,92076916507456.5,747.06906499342,3.15928656288359e-14,0.001
"107",108.17652501656,"DEF",16,-40.1207956916685,8.70992124585086,37244172266405,766.05429338545,8.96129093173722e-14,0.001
"108",108.176600699359,"DEF",16,-40.1207956916685,1.27877011673993,81338411521355.2,507.892399312285,3.05199151273334e-14,0.001
"109",108.176538977879,"DEF",16,-40.1207956916685,6.25642798011615,17233518342337.7,507.07375349557,7.86809119001924e-14,0.001
"110",108.176633704871,"DEF",16,-40.1207956916685,6.72199612194672,85809923377622.8,292.412505239055,4.63847831940075e-15,0.001
"111",108.17651182623,"DEF",16,-40.1207956916685,0.988848935307835,47075226698281.1,607.521059939377,1e-13,0.001
"112",108.176564676832,"DEF",16,-40.1207956916685,8.94526308242906,48632203841079.5,217.937601837816,5.83698955453658e-14,0.001
"113",108.176595410197,"DEF",16,-40.1207956916685,3.6655428929021,92380786338481,786.220635846257,3.46693596954559e-14,0.001
"114",108.17661335845,"DEF",16,-40.1207956916685,0.110475477195039,12722808143028.9,702.476504889578,2.06501041391792e-14,0.001
"115",108.176546122531,"DEF",16,-40.1207956916685,6.85520257379996,73333908278175.9,974.101346639402,7.31703734787171e-14,0.001
"116",108.176566424826,"DEF",16,-40.1207956916685,6.13960925326683,34285696372890.9,499.935960532518,5.72498582427541e-14,0.001
