date,time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
05.05.1615:15:51,182,1.93,10.07,10.09,9.9,9.15,7.03,9.33,7.73,12.95,9.81,8.09,8.97,8.24,8.04,10.59,11.49,5.62,9.52,8.88,7.99,7.53,11.55,11.52
05.05.1615:16:06,197,1.93,10.12,10.12,9.88,9.16,6.99,9.36,7.73,12.98,9.8,8.13,8.96,8.34,8.04,10.65,11.44,5.57,9.5,8.96,7.9,7.52,11.66,11.55
05.05.1615:16:21,212,1.93,10.12,10.07,9.87,9.13,6.96,9.33,7.71,13,9.75,8.12,8.93,8.36,7.97,10.55,11.49,5.52,9.59,8.82,7.88,7.43,11.61,11.56
05.05.1615:16:36,227,1.93,10.1,10.07,9.85,9.12,6.9,9.36,7.68,13.03,9.75,8.19,8.95,8.27,7.98,10.65,11.47,5.48,9.5,8.79,7.88,7.37,11.49,11.53
05.05.1615:16:51,242,1.92,10.1,10.1,9.88,9.1,6.84,9.33,7.68,13.03,9.72,8.15,8.9,8.3,7.83,10.55,11.38,5.39,9.59,8.89,8.04,7.43,11.6,11.5
05.05.1615:17:06,257,1.95,10.1,10.1,9.88,9.16,6.86,9.33,7.65,13.03,9.68,8.12,8.93,8.31,7.97,10.59,11.35,5.35,9.65,8.9,7.99,7.42,11.6,11.58
05.05.1615:17:21,272,1.93,10.1,10.09,9.9,9.13,6.82,9.32,7.58,13,9.65,8.11,8.9,8.19,7.91,10.61,11.37,5.3,9.65,8.72,7.98,7.39,11.5,11.52
05.05.1615:17:36,287,1.92,10.1,10.09,9.88,9.09,6.77,9.29,7.6,13.06,9.61,8.06,8.93,8.3,7.83,10.7,11.35,5.32,9.66,8.75,8.04,7.26,11.56,11.52
05.05.1615:17:51,302,1.94,10.12,10.13,9.87,9.12,6.74,9.3,7.57,13.06,9.61,8.08,8.92,8.19,7.83,10.7,11.46,5.23,9.62,8.73,8.05,7.31,11.46,11.56
05.05.1615:18:06,317,1.95,10.1,10.07,9.85,9.07,6.7,9.25,7.54,13.05,9.58,8.02,8.92,8.19,7.76,10.59,11.41,5.18,9.62,8.69,7.99,7.21,11.46,11.53
05.05.1615:18:21,332,1.93,10.12,10.1,9.88,9.12,6.69,9.26,7.5,13.08,9.55,7.95,8.9,8.19,7.8,10.71,11.35,5.1,9.64,8.76,8.08,7.22,11.58,11.44
05.05.1615:18:36,347,1.92,10.1,10.1,9.87,9.1,6.63,9.23,7.48,13.11,9.55,7.95,8.89,8.16,7.71,10.61,11.38,4.98,9.74,8.73,7.97,7.17,11.47,11.47
05.05.1615:18:51,362,1.94,10.12,10.1,9.9,9.06,6.61,9.23,7.43,13.13,9.5,8.02,8.86,8.26,7.76,10.73,11.33,5,9.64,8.64,7.97,7.17,11.46,11.56
05.05.1615:19:06,377,1.93,10.12,10.1,9.88,9.09,6.53,9.2,7.39,13.18,9.48,7.97,8.89,8.27,7.61,10.68,11.41,4.91,9.58,8.61,7.94,7.17,11.5,11.43
05.05.1615:19:21,392,1.93,10.07,10.1,9.88,9.03,6.51,9.22,7.38,13.13,9.45,7.93,8.86,8.17,7.64,10.64,11.37,4.81,9.56,8.61,7.94,7.26,11.61,11.44
05.05.1615:19:36,407,1.94,10.1,10.09,9.87,9.05,6.42,9.2,7.37,13.1,9.45,7.97,8.88,8.19,7.56,10.77,11.44,4.74,9.59,8.62,7.93,7.11,11.53,11.43
05.05.1615:19:51,422,1.94,10.1,10.09,9.88,9.05,6.4,9.17,7.33,13.06,9.43,7.88,8.88,8.09,7.49,10.74,11.33,4.7,9.55,8.66,7.97,7.21,11.4,11.5
05.05.1615:20:06,437,1.94,10.1,10.12,9.87,9.05,6.38,9.19,7.27,13.1,9.42,7.94,8.86,8.19,7.45,10.71,11.38,4.73,9.74,8.62,8.02,7.23,11.52,11.53
05.05.1615:20:21,452,1.94,10.1,10.12,9.85,8.99,6.32,9.16,7.26,13.11,9.39,7.91,8.85,8.12,7.48,10.64,11.35,4.58,9.53,8.68,7.93,7.12,11.37,11.49
05.05.1615:20:36,467,1.93,10.09,10.1,9.87,8.97,6.28,9.13,7.23,13.14,9.37,7.88,8.88,8.05,7.43,10.7,11.35,4.6,9.62,8.64,7.95,7.19,11.38,11.44
05.05.1615:20:51,482,1.93,10.09,10.12,9.88,8.96,6.25,9.13,7.19,13.16,9.35,7.93,8.85,8.04,7.41,10.67,11.38,4.52,9.61,8.66,7.84,7.14,11.47,11.47
05.05.1615:21:06,497,1.93,10.09,10.09,9.87,8.96,6.19,9.12,7.17,13.11,9.33,7.86,8.83,8.17,7.39,10.71,11.43,4.47,9.69,8.48,7.97,7.19,11.5,11.47
05.05.1615:21:21,512,1.93,10.09,10.09,9.85,8.95,6.16,9.1,7.1,13.16,9.32,7.84,8.82,8.15,7.42,10.67,11.3,4.42,9.69,8.55,8.02,7.07,11.43,11.47
05.05.1615:21:36,527,1.92,10.09,10.09,9.87,8.95,6.11,9.05,7.11,13.21,9.33,7.79,8.83,8.04,7.39,10.76,11.44,4.28,9.55,8.59,7.94,7.12,11.43,11.44
05.05.1615:21:51,542,1.92,10.09,10.1,9.85,8.92,6.04,9.07,7.08,13.23,9.27,7.86,8.8,8.01,7.39,10.83,11.38,4.3,9.77,8.44,7.91,7.03,11.5,11.43
05.05.1615:22:06,557,1.94,10.1,10.12,9.85,8.89,6.03,9.09,7.06,13.24,9.26,7.84,8.82,8.06,7.41,10.74,11.37,4.27,9.74,8.45,7.99,7.02,11.5,11.4
05.05.1615:22:21,572,1.92,10.1,10.12,9.87,8.89,5.98,9.09,7.03,13.24,9.26,7.86,8.78,8.12,7.34,10.82,11.4,4.2,9.75,8.48,7.9,7.03,11.4,11.43
05.05.1615:22:36,587,1.92,10.09,10.1,9.88,8.9,5.93,9.07,7,13.27,9.25,7.77,8.8,8.02,7.21,10.73,11.32,4.14,9.78,8.41,7.91,7.1,11.35,11.32
05.05.1615:22:51,602,1.92,10.12,10.09,9.84,8.88,5.9,9.06,6.99,13.31,9.19,7.8,8.79,7.97,7.31,10.83,11.43,4.1,9.59,8.49,7.98,6.91,11.43,11.43
05.05.1615:23:06,617,1.91,10.07,10.1,9.85,8.88,5.89,9.05,6.95,13.29,9.2,7.79,8.78,7.95,7.17,10.86,11.38,3.96,9.64,8.47,7.84,7,11.5,11.33
05.05.1615:23:21,632,1.94,10.1,10.1,9.88,8.85,5.84,9.05,6.92,13.27,9.16,7.72,8.76,7.93,7.3,10.83,11.32,3.92,9.66,8.47,7.97,6.96,11.37,11.29
05.05.1615:23:36,647,1.95,10.09,10.12,9.88,8.86,5.79,9.05,6.88,13.24,9.13,7.75,8.76,7.93,7.14,10.74,11.38,3.83,9.71,8.38,7.87,6.96,11.33,11.4
05.05.1615:23:51,662,1.93,10.1,10.09,9.87,8.8,5.74,9.03,6.87,13.23,9.13,7.64,8.75,7.91,7.15,10.7,11.26,3.85,9.68,8.38,7.86,6.84,11.46,11.43
05.05.1615:24:06,677,1.92,10.09,10.07,9.87,8.79,5.67,8.97,6.82,13.21,9.09,7.69,8.72,7.95,7.06,10.8,11.35,3.77,9.72,8.42,7.8,6.91,11.46,11.43
05.05.1615:24:21,692,1.94,10.07,10.12,9.9,8.78,5.66,9,6.79,13.24,9.06,7.65,8.73,7.9,7.06,10.89,11.29,3.81,9.61,8.29,7.95,6.86,11.41,11.3
05.05.1615:24:36,707,1.93,10.09,10.1,9.87,8.76,5.63,8.97,6.74,13.24,9.06,7.6,8.71,7.97,7.04,10.8,11.37,3.75,9.52,8.23,7.94,6.9,11.46,11.4
05.05.1615:24:51,722,1.92,10.09,10.09,9.84,8.72,5.6,8.97,6.73,13.24,9.03,7.67,8.72,7.83,6.94,10.83,11.38,3.61,9.58,8.38,7.91,6.88,11.4,11.37
05.05.1615:25:06,737,1.93,10.1,10.09,9.88,8.73,5.56,8.97,6.74,13.23,9.06,7.62,8.75,7.94,7.06,10.89,11.24,3.64,9.55,8.37,7.88,6.82,11.43,11.4
05.05.1615:25:21,752,1.94,10.1,10.09,9.9,8.71,5.51,8.96,6.66,13.26,8.99,7.56,8.71,7.91,6.96,10.77,11.26,3.57,9.59,8.2,7.84,6.82,11.41,11.33
05.05.1615:25:36,767,1.93,10.1,10.1,9.9,8.69,5.49,8.95,6.66,13.31,8.97,7.53,8.71,7.82,6.99,10.83,11.32,3.55,9.65,8.31,7.84,6.73,11.41,11.4
05.05.1615:25:51,782,1.96,10.07,10.12,9.9,8.71,5.46,8.95,6.65,13.32,8.97,7.5,8.71,7.88,6.94,10.79,11.35,3.44,9.72,8.2,7.82,6.77,11.47,11.33
05.05.1615:26:07,798,1.92,10.09,10.07,9.87,8.69,5.38,8.92,6.59,13.31,8.95,7.52,8.68,7.88,6.91,10.73,11.33,3.43,9.61,8.17,7.83,6.66,11.44,11.27
05.05.1615:26:22,813,1.91,10.09,10.07,9.85,8.65,5.37,8.92,6.57,13.36,8.95,7.5,8.65,7.83,6.83,10.88,11.21,3.34,9.69,8.27,7.91,6.67,11.35,11.33
05.05.1615:26:37,828,1.93,10.1,10.1,9.88,8.66,5.33,8.9,6.57,13.32,8.92,7.5,8.71,7.86,6.86,10.88,11.23,3.25,9.66,8.31,7.87,6.66,11.32,11.27
05.05.1615:26:52,843,1.94,10.09,10.09,9.87,8.65,5.33,8.89,6.54,13.36,8.9,7.52,8.68,7.75,6.82,10.86,11.3,3.3,9.64,8.13,7.86,6.62,11.33,11.29
05.05.1615:27:07,858,1.94,10.09,10.1,9.88,8.64,5.27,8.88,6.51,13.31,8.88,7.48,8.69,7.76,6.86,10.85,11.32,3.18,9.53,8.17,7.76,6.66,11.37,11.27
05.05.1615:27:22,873,1.94,10.07,10.07,9.87,8.64,5.18,8.86,6.5,13.34,8.85,7.41,8.66,7.75,6.65,10.88,11.2,3.15,9.62,8.19,7.79,6.59,11.32,11.21
05.05.1615:27:37,888,1.94,10.1,10.09,9.87,8.64,5.14,8.85,6.48,13.36,8.8,7.38,8.65,7.77,6.71,10.83,11.3,3.18,9.5,8.12,7.82,6.61,11.33,11.38
05.05.1615:27:52,903,1.92,10.07,10.09,9.88,8.61,5.13,8.82,6.45,13.36,8.78,7.31,8.62,7.77,6.73,10.86,11.35,3.11,9.46,8.19,7.77,6.49,11.43,11.35
05.05.1615:28:07,918,1.95,10.1,10.09,9.9,8.59,5.09,8.82,6.44,13.36,8.8,7.33,8.65,7.77,6.57,10.86,11.35,3.11,9.59,8.23,7.83,6.55,11.27,11.2
05.05.1615:28:22,933,1.94,10.07,10.1,9.87,8.61,5.05,8.85,6.42,13.34,8.82,7.37,8.64,7.72,6.66,10.89,11.26,3.04,9.61,8.17,7.84,6.53,11.27,11.26
05.05.1615:28:37,948,1.95,10.1,10.09,9.88,8.58,5.01,8.8,6.41,13.39,8.79,7.31,8.62,7.76,6.62,10.88,11.24,3.06,9.59,8.11,7.8,6.48,11.43,11.38
05.05.1615:28:52,963,1.92,10.06,10.1,9.85,8.55,4.93,8.79,6.34,13.34,8.75,7.26,8.59,7.71,6.62,10.83,11.23,2.98,9.58,8.01,7.77,6.41,11.35,11.27
05.05.1615:29:07,978,1.93,10.07,10.09,9.85,8.56,4.89,8.76,6.32,13.37,8.72,7.29,8.62,7.58,6.55,10.77,11.27,3.01,9.55,8.05,7.86,6.4,11.37,11.3
05.05.1615:29:22,993,1.92,10.06,10.07,9.9,8.55,4.85,8.79,6.28,13.36,8.72,7.33,8.61,7.67,6.45,10.86,11.29,3.03,9.42,8.02,7.82,6.48,11.3,11.4
05.05.1615:29:37,1008,1.94,10.12,10.07,9.88,8.54,4.83,8.79,6.27,13.39,8.72,7.31,8.59,7.64,6.45,10.85,11.2,2.92,9.42,8.04,7.88,6.45,11.35,11.29
05.05.1615:29:52,1023,1.93,10.07,10.1,9.88,8.51,4.79,8.76,6.24,13.36,8.71,7.25,8.61,7.64,6.41,10.89,11.32,2.94,9.48,8.02,7.86,6.46,11.37,11.35
05.05.1615:30:07,1038,1.94,10.13,10.12,9.9,8.51,4.75,8.79,6.24,13.42,8.71,7.35,8.59,7.64,6.5,10.74,11.32,2.91,9.53,8.01,7.94,6.33,11.46,11.33
05.05.1615:30:23,1054,1.94,10.1,10.09,9.87,8.48,4.71,8.76,6.17,13.41,8.66,7.31,8.59,7.62,6.49,10.88,11.2,2.8,9.43,7.98,7.95,6.37,11.32,11.27
05.05.1615:30:37,1068,1.94,10.09,10.1,9.9,8.48,4.65,8.76,6.16,13.41,8.61,7.23,8.55,7.57,6.38,10.88,11.33,2.86,9.53,7.9,7.91,6.24,11.4,11.37
05.05.1615:30:52,1083,1.94,10.09,10.1,9.88,8.47,4.62,8.72,6.12,13.39,8.59,7.26,8.54,7.65,6.29,10.76,11.29,2.79,9.39,8.01,7.8,6.27,11.29,11.32
05.05.1615:31:07,1098,1.95,10.13,10.12,9.88,8.48,4.55,8.72,6.12,13.39,8.58,7.27,8.58,7.71,6.25,10.86,11.24,2.77,9.56,8.04,7.9,6.3,11.32,11.3
05.05.1615:31:23,1114,1.95,10.1,10.09,9.88,8.42,4.52,8.72,6.1,13.39,8.54,7.19,8.55,7.67,6.34,10.85,11.26,2.76,9.52,7.98,7.82,6.19,11.3,11.29
05.05.1615:31:38,1129,1.94,10.1,10.1,9.88,8.4,4.46,8.69,6.08,13.36,8.49,7.26,8.51,7.49,6.21,10.82,11.33,2.66,9.37,7.99,7.8,6.3,11.26,11.2
05.05.1615:31:53,1144,1.94,10.1,10.09,9.87,8.38,4.46,8.71,6.04,13.34,8.49,7.12,8.55,7.65,6.21,10.76,11.21,2.71,9.45,7.97,7.94,6.24,11.29,11.32
05.05.1615:32:08,1159,1.94,10.09,10.12,9.88,8.4,4.41,8.68,6.03,13.34,8.45,7.12,8.54,7.49,6.25,10.89,11.32,2.63,9.46,7.94,7.88,6.12,11.35,11.32
05.05.1615:32:23,1174,1.93,10.06,10.07,9.87,8.38,4.33,8.68,5.98,13.32,8.44,7.1,8.49,7.52,6.24,10.85,11.32,2.63,9.55,7.8,7.83,6.19,11.26,11.27
05.05.1615:32:38,1189,1.94,10.09,10.13,9.88,8.37,4.31,8.68,5.94,13.32,8.41,7.14,8.48,7.57,6.28,10.91,11.23,2.58,9.45,7.8,7.87,6.21,11.21,11.27
05.05.1615:32:53,1204,1.95,10.1,10.09,9.88,8.33,4.26,8.66,5.93,13.34,8.38,7.12,8.49,7.53,6.1,10.89,11.27,2.62,9.61,7.91,7.86,6.23,11.24,11.24
05.05.1615:33:08,1219,1.93,10.07,10.09,9.87,8.31,4.2,8.64,5.88,13.31,8.36,7.03,8.45,7.45,6.08,10.89,11.27,2.56,9.4,7.76,7.82,6.1,11.3,11.27
05.05.1615:33:23,1234,1.95,10.09,10.1,9.87,8.31,4.17,8.61,5.85,13.32,8.37,7.11,8.47,7.49,6.12,10.88,11.3,2.57,9.48,7.79,7.8,6.14,11.17,11.29
05.05.1615:33:38,1249,1.94,10.1,10.07,9.82,8.3,4.1,8.61,5.84,13.29,8.34,7.07,8.41,7.39,6.01,10.77,11.27,2.59,9.4,7.86,7.84,6.15,11.27,11.18
05.05.1615:33:53,1264,1.93,10.09,10.09,9.85,8.29,4.08,8.59,5.8,13.29,8.33,7.02,8.42,7.48,5.97,10.85,11.18,2.56,9.46,7.9,7.93,6.12,11.24,11.26
05.05.1615:34:08,1279,1.94,10.07,10.07,9.87,8.29,4.02,8.54,5.77,13.31,8.26,7.03,8.4,7.5,5.94,10.73,11.18,2.56,9.56,7.8,7.79,6.1,11.2,11.18
05.05.1615:34:23,1294,1.93,10.07,10.06,9.85,8.29,3.99,8.54,5.72,13.32,8.26,6.95,8.4,7.45,5.92,10.82,11.21,2.52,9.49,7.76,7.84,6.03,11.32,11.17
05.05.1615:34:38,1309,1.94,10.06,10.06,9.87,8.26,3.94,8.52,5.68,13.31,8.26,6.91,8.4,7.45,5.9,10.8,11.27,2.55,9.64,7.69,7.87,6.03,11.15,11.15
05.05.1615:34:53,1324,1.92,10.06,10.09,9.84,8.26,3.88,8.55,5.67,13.32,8.22,6.9,8.38,7.39,5.9,10.83,11.2,2.5,9.52,7.68,7.84,5.98,11.21,11.18
05.05.1615:35:08,1339,1.95,10.1,10.09,9.84,8.26,3.86,8.55,5.68,13.29,8.2,6.96,8.36,7.34,5.85,10.77,11.29,2.5,9.64,7.75,7.87,6.01,11.24,11.17
05.05.1615:35:23,1354,1.93,10.1,10.06,9.87,8.23,3.82,8.48,5.63,13.31,8.16,6.91,8.36,7.35,5.77,10.77,11.12,2.47,9.59,7.77,7.86,6.01,11.21,11.18
05.05.1615:35:38,1369,1.94,10.09,10.09,9.87,8.24,3.8,8.51,5.62,13.26,8.15,6.86,8.34,7.3,5.8,10.76,11.24,2.48,9.69,7.75,7.91,5.94,11.18,11.2
05.05.1615:35:53,1384,1.93,10.09,10.07,9.84,8.2,3.77,8.48,5.6,13.26,8.13,6.84,8.31,7.3,5.77,10.79,11.29,2.43,9.62,7.69,7.87,5.97,11.32,11.2
05.05.1615:36:08,1399,1.92,10.07,10.09,9.87,8.19,3.76,8.48,5.57,13.29,8.11,6.83,8.3,7.33,5.77,10.74,11.17,2.42,9.64,7.57,7.87,5.93,11.26,11.23
05.05.1615:36:23,1414,1.93,10.09,10.04,9.84,8.17,3.7,8.48,5.53,13.29,8.11,6.86,8.33,7.26,5.74,10.8,11.24,2.46,9.46,7.65,7.93,5.8,11.14,11.2
05.05.1615:36:38,1429,1.94,10.07,10.09,9.87,8.19,3.71,8.47,5.51,13.26,8.08,6.82,8.3,7.31,5.67,10.85,11.24,2.35,9.46,7.68,7.83,5.81,11.17,11.09
05.05.1615:36:53,1444,1.93,10.04,10.07,9.85,8.16,3.65,8.47,5.47,13.27,8.06,6.84,8.3,7.21,5.62,10.88,11.18,2.4,9.61,7.56,7.86,5.84,11.12,11.17
05.05.1615:37:08,1459,1.94,10.09,10.1,9.84,8.15,3.59,8.47,5.47,13.24,8.05,6.84,8.3,7.31,5.66,10.88,11.18,2.39,9.48,7.64,7.93,5.84,11.23,11.18
05.05.1615:37:23,1474,1.92,10.09,10.07,9.85,8.11,3.53,8.44,5.4,13.26,8.05,6.75,8.3,7.23,5.63,10.86,11.11,2.28,9.49,7.62,7.83,5.77,11.26,11.14
05.05.1615:37:38,1489,1.93,10.07,10.06,9.88,8.11,3.51,8.42,5.38,13.26,8.02,6.8,8.29,7.26,5.62,10.83,11.21,2.36,9.5,7.53,7.91,5.72,11.15,11.18
05.05.1615:37:54,1505,1.95,10.07,10.07,9.88,8.11,3.5,8.4,5.38,13.26,8.02,6.79,8.3,7.18,5.65,10.74,11.23,2.35,9.48,7.49,7.84,5.77,11.26,11.17
05.05.1615:38:09,1520,1.95,10.07,10.06,9.84,8.09,3.43,8.38,5.37,13.23,8.02,6.77,8.29,7.15,5.49,10.8,11.15,2.38,9.48,7.57,7.91,5.67,11.27,11.12
05.05.1615:38:24,1535,1.95,10.06,10.04,9.84,8.06,3.42,8.38,5.34,13.26,7.99,6.78,8.26,7.12,5.54,10.86,11.17,2.29,9.5,7.56,7.94,5.75,11.21,11.14
05.05.1615:38:39,1550,1.95,10.09,10.09,9.87,8.05,3.36,8.38,5.32,13.26,8.01,6.75,8.24,7.22,5.51,10.88,11.2,2.31,9.56,7.54,7.97,5.66,11.12,11.2
05.05.1615:38:54,1565,1.93,10.07,10.07,9.87,8.01,3.34,8.34,5.27,13.21,7.98,6.65,8.23,7.14,5.47,10.73,11.12,2.33,9.45,7.45,7.93,5.62,11.11,11.14
05.05.1615:39:09,1580,1.94,10.06,10.07,9.87,8.02,3.28,8.36,5.28,13.24,7.98,6.62,8.22,7.1,5.46,10.67,11.17,2.38,9.48,7.49,7.79,5.52,11.21,11.15
05.05.1615:39:24,1595,1.95,10.06,10.09,9.85,8.02,3.28,8.33,5.24,13.21,7.98,6.7,8.22,7.12,5.47,10.83,11.2,2.26,9.55,7.42,7.86,5.65,11.11,11.09
05.05.1615:39:39,1610,1.95,10.07,10.09,9.88,7.99,3.21,8.33,5.2,13.23,7.98,6.59,8.23,7.1,5.33,10.71,11.12,2.32,9.5,7.49,7.87,5.62,11.15,11.18
05.05.1615:39:54,1625,1.94,10.09,10.06,9.85,7.95,3.19,8.33,5.18,13.21,7.94,6.66,8.2,6.99,5.38,10.85,11.17,2.34,9.59,7.41,7.83,5.53,11.17,11.15
05.05.1615:40:09,1640,1.92,10.04,10.06,9.85,7.97,3.15,8.3,5.16,13.19,7.94,6.62,8.2,7.1,5.3,10.73,11.21,2.27,9.5,7.49,7.82,5.53,11.12,11.04
05.05.1615:40:24,1655,1.94,10.09,10.1,9.87,7.95,3.15,8.31,5.14,13.21,7.97,6.58,8.22,7.07,5.38,10.83,11.23,2.23,9.52,7.46,7.91,5.44,11.2,11.12
05.05.1615:40:39,1670,1.95,10.07,10.1,9.84,7.94,3.13,8.31,5.11,13.23,7.94,6.62,8.22,6.98,5.32,10.83,11.2,2.28,9.59,7.46,7.82,5.47,11.11,11.09
05.05.1615:40:54,1685,1.94,10.09,10.04,9.87,7.93,3.08,8.27,5.06,13.18,7.9,6.51,8.19,6.92,5.23,10.83,11.14,2.28,9.5,7.48,7.93,5.4,11.11,11.17
05.05.1615:41:09,1700,1.95,10.06,10.09,9.85,7.91,3.08,8.29,5.06,13.18,7.87,6.58,8.19,6.92,5.23,10.74,11.15,2.31,9.46,7.39,7.88,5.51,11.14,11.11
05.05.1615:41:24,1715,1.95,10.07,10.09,9.87,7.91,3.06,8.27,5.05,13.18,7.88,6.54,8.15,6.98,5.25,10.85,11.14,2.24,9.46,7.35,7.84,5.42,11.09,11.06
05.05.1615:41:39,1730,1.94,10.07,10.07,9.84,7.88,3.04,8.23,5.01,13.14,7.88,6.53,8.12,6.96,5.09,10.71,11.17,2.26,9.46,7.38,7.84,5.37,11.11,11.06
05.05.1615:41:54,1745,1.95,10.06,10.06,9.87,7.9,3.01,8.22,4.99,13.13,7.86,6.53,8.15,6.86,5.15,10.7,11.24,2.25,9.56,7.41,7.88,5.43,11.12,11.17
05.05.1615:42:09,1760,1.93,10.07,10.07,9.87,7.84,2.94,8.2,4.95,13.11,7.86,6.49,8.11,6.92,5.11,10.79,11.15,2.31,9.61,7.37,7.82,5.39,11.15,11.09
05.05.1615:42:24,1775,1.93,10.09,10.09,9.85,7.86,2.92,8.23,4.95,13.11,7.83,6.48,8.13,6.82,5.04,10.74,11.12,2.29,9.4,7.35,7.8,5.28,11.06,11.12
05.05.1615:42:39,1790,1.93,10.07,10.06,9.87,7.84,2.9,8.23,4.94,13.11,7.83,6.46,8.12,6.88,5.11,10.8,11.15,2.27,9.53,7.23,7.9,5.23,11.14,11.09
05.05.1615:42:54,1805,1.93,10.09,10.06,9.84,7.86,2.86,8.2,4.9,13.1,7.82,6.44,8.12,6.84,5.06,10.71,11.17,2.26,9.43,7.31,7.95,5.21,11.09,11.09
05.05.1615:43:09,1820,1.94,10.09,10.09,9.85,7.82,2.86,8.19,4.86,13.11,7.77,6.36,8.11,6.9,5.01,10.83,11.17,2.31,9.46,7.25,7.91,5.28,11.06,11.06
05.05.1615:43:24,1835,1.95,10.07,10.07,9.85,7.8,2.83,8.2,4.85,13.06,7.79,6.33,8.08,6.84,4.99,10.73,11.21,2.19,9.37,7.23,7.8,5.18,11.08,11.11
05.05.1615:43:39,1850,1.94,10.06,10.06,9.84,7.79,2.8,8.17,4.83,13.11,7.79,6.34,8.11,6.75,4.95,10.62,11.17,2.28,9.48,7.21,7.91,5.27,11,11.14
05.05.1615:43:54,1865,1.95,10.1,10.07,9.82,7.79,2.8,8.17,4.8,13.11,7.77,6.36,8.11,6.91,4.95,10.64,11.04,2.25,9.48,7.31,7.86,5.24,11.15,11.11
05.05.1615:44:09,1880,1.94,10.1,10.07,9.85,7.75,2.77,8.17,4.76,13.08,7.82,6.28,8.09,6.83,4.89,10.74,11.17,2.18,9.56,7.26,7.97,5.15,11.06,11.14
05.05.1615:44:24,1895,1.96,10.1,10.06,9.84,7.75,2.77,8.16,4.74,13.1,7.79,6.33,8.12,6.78,4.91,10.71,11.06,2.25,9.52,7.29,7.88,5.11,11.11,11.14
05.05.1615:44:39,1910,1.94,10.1,10.07,9.85,7.77,2.73,8.16,4.71,13.1,7.77,6.33,8.08,6.82,4.84,10.77,11.09,2.26,9.4,7.17,7.87,5.06,11.14,11.12
05.05.1615:44:54,1925,1.96,10.1,10.06,9.8,7.75,2.73,8.15,4.69,13.1,7.79,6.25,8.09,6.8,4.79,10.79,11.14,2.2,9.45,7.27,7.86,5.18,11.18,11.09
05.05.1615:45:09,1940,1.94,10.12,10.09,9.85,7.73,2.7,8.09,4.67,13.08,7.76,6.24,8.06,6.79,4.76,10.64,11.06,2.28,9.36,7.23,7.82,5.13,11.04,11.06
05.05.1615:45:24,1955,1.95,10.07,10.09,9.85,7.69,2.7,8.11,4.64,13.02,7.71,6.2,8.08,6.69,4.73,10.67,11.18,2.21,9.45,7.11,7.9,5.13,10.97,11.03
