date,time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
06.05.1611:03:22,316,2.58,11.89,11.19,10.79,12.79,8.55,8.41,10.06,13,11.15,8.78,8.15,8.8,9.31,8.02,9.38,7.81,8.78,10.25,10.27,8.38,9.06,10.61
06.05.1611:03:37,331,2.56,11.89,11.2,10.72,12.77,8.55,8.35,10.01,13,11.12,8.75,8.15,8.78,9.33,8.03,9.36,7.75,8.75,10.21,10.32,8.32,9.19,10.56
06.05.1611:03:52,346,2.57,11.94,11.23,10.77,12.76,8.52,8.37,10.04,13.02,11.12,8.78,8.14,8.75,9.41,7.97,9.35,7.72,8.74,10.38,10.3,8.37,9.13,10.63
06.05.1611:04:07,361,2.58,11.95,11.19,10.72,12.77,8.49,8.35,10,12.98,11.04,8.66,8.14,8.68,9.33,7.99,9.35,7.66,8.64,10.25,10.32,8.23,9.05,10.55
06.05.1611:04:22,376,2.57,11.97,11.19,10.76,12.77,8.46,8.29,9.96,12.93,11,8.69,8.12,8.72,9.35,7.99,9.39,7.7,8.55,10.11,10.33,8.37,8.97,10.64
06.05.1611:04:37,391,2.58,12,11.19,10.76,12.79,8.43,8.32,9.98,13.02,10.95,8.64,8.11,8.66,9.25,7.97,9.33,7.69,8.57,10.16,10.29,8.23,9.1,10.51
06.05.1611:04:52,406,2.58,12.04,11.2,10.77,12.79,8.38,8.31,9.95,12.98,10.92,8.6,8.12,8.69,9.2,7.93,9.39,7.63,8.69,10.22,10.3,8.22,9.06,10.5
06.05.1611:05:08,422,2.6,12.06,11.22,10.74,12.79,8.4,8.29,9.96,13.02,10.86,8.68,8.08,8.68,9.28,7.84,9.36,7.61,8.52,10.17,10.24,8.23,9.02,10.61
06.05.1611:05:23,437,2.58,12.07,11.23,10.76,12.79,8.38,8.26,9.93,12.98,10.84,8.66,8.08,8.58,9.3,7.87,9.38,7.51,8.58,10.25,10.3,8.18,8.99,10.51
06.05.1611:05:38,452,2.57,12.07,11.2,10.72,12.77,8.37,8.22,9.93,13,10.82,8.63,8.05,8.57,9.31,7.84,9.39,7.54,8.44,10.24,10.24,8.23,8.95,10.58
06.05.1611:05:53,467,2.6,12.11,11.2,10.72,12.79,8.32,8.2,9.95,13,10.77,8.6,8.06,8.6,9.27,7.84,9.35,7.43,8.55,10.11,10.25,8.14,8.89,10.61
06.05.1611:06:08,482,2.58,12.12,11.19,10.72,12.79,8.31,8.2,9.88,12.98,10.74,8.57,8.06,8.58,9.22,7.73,9.3,7.36,8.54,10.14,10.14,8.2,8.91,10.56
06.05.1611:06:23,497,2.58,12.16,11.17,10.72,12.76,8.28,8.17,9.88,13.02,10.69,8.63,8.06,8.46,9.24,7.78,9.38,7.45,8.35,10.08,10.11,8.15,8.97,10.46
06.05.1611:06:38,512,2.58,12.17,11.19,10.72,12.76,8.23,8.14,9.88,13,10.69,8.55,8.03,8.43,9.24,7.73,9.28,7.36,8.35,10.09,10.11,8.02,8.8,10.43
06.05.1611:06:53,527,2.57,12.17,11.2,10.72,12.77,8.18,8.15,9.82,13,10.61,8.54,8.03,8.48,9.19,7.7,9.31,7.36,8.26,10.04,10.21,8.03,8.74,10.5
06.05.1611:07:08,542,2.58,12.23,11.19,10.74,12.74,8.2,8.11,9.87,12.97,10.61,8.55,8.02,8.38,9.2,7.69,9.35,7.19,8.26,10.14,10.19,7.97,8.85,10.38
06.05.1611:07:23,557,2.58,12.19,11.17,10.74,12.72,8.12,8.08,9.85,13.02,10.58,8.49,8.02,8.31,9.05,7.69,9.31,7.25,8.34,10.16,10.17,8.06,8.88,10.48
06.05.1611:07:38,572,2.57,12.26,11.17,10.71,12.72,8.09,8.03,9.82,12.98,10.53,8.46,7.99,8.29,9.08,7.54,9.35,7.24,8.29,10.03,10.04,8.03,8.8,10.46
06.05.1611:07:53,587,2.57,12.23,11.17,10.68,12.74,8.06,8.06,9.79,12.98,10.5,8.46,8.02,8.37,9.14,7.57,9.28,7.16,8.18,10.13,10.21,7.93,8.78,10.43
06.05.1611:08:08,602,2.57,12.28,11.17,10.68,12.72,8.03,7.99,9.79,13,10.46,8.4,7.97,8.26,9.11,7.6,9.35,7.21,8.14,10.14,10.06,7.88,8.8,10.46
06.05.1611:08:23,617,2.58,12.28,11.2,10.71,12.71,8.02,8,9.8,12.98,10.43,8.41,7.99,8.31,9.1,7.55,9.27,7.05,8.22,10,10.09,7.93,8.63,10.48
06.05.1611:08:38,632,2.57,12.33,11.19,10.69,12.72,8.02,7.97,9.79,12.98,10.42,8.49,7.99,8.28,9.03,7.55,9.33,7.07,8.15,10,10.04,7.84,8.77,10.42
06.05.1611:08:53,647,2.58,12.33,11.19,10.68,12.74,7.99,7.93,9.77,12.97,10.33,8.37,7.97,8.26,9.06,7.49,9.25,7.03,8.05,10.03,10.13,7.87,8.69,10.42
06.05.1611:09:08,662,2.57,12.33,11.14,10.68,12.69,7.99,7.93,9.74,12.98,10.33,8.44,7.93,8.25,9.02,7.48,9.3,7.02,8.14,10.08,10.01,7.73,8.63,10.5
06.05.1611:09:23,677,2.57,12.34,11.17,10.69,12.71,7.97,7.91,9.74,12.97,10.32,8.35,7.94,8.26,9.03,7.43,9.38,6.9,8.11,10.01,10.09,7.73,8.63,10.45
06.05.1611:09:38,692,2.58,12.36,11.19,10.69,12.71,7.91,7.91,9.76,12.97,10.29,8.31,7.93,8.22,8.94,7.33,9.39,6.97,8.09,9.96,10.04,7.78,8.69,10.51
06.05.1611:09:53,707,2.57,12.41,11.15,10.71,12.72,7.91,7.87,9.73,12.98,10.24,8.28,7.93,8.08,8.92,7.31,9.41,7,8.02,9.98,10.08,7.66,8.61,10.43
06.05.1611:10:08,722,2.58,12.4,11.19,10.71,12.72,7.91,7.79,9.73,12.98,10.22,8.4,7.9,8.12,8.99,7.34,9.36,6.94,7.94,10,10.03,7.72,8.57,10.51
06.05.1611:10:23,737,2.56,12.41,11.14,10.71,12.69,7.91,7.81,9.69,12.95,10.19,8.25,7.88,8.03,8.95,7.22,9.31,6.9,7.94,9.93,10.04,7.63,8.52,10.45
06.05.1611:10:38,752,2.58,12.46,11.15,10.69,12.72,7.87,7.78,9.69,12.97,10.17,8.37,7.91,7.99,8.92,7.22,9.35,6.8,7.9,9.88,10.06,7.58,8.55,10.48
06.05.1611:10:53,767,2.57,12.46,11.15,10.69,12.72,7.84,7.78,9.66,12.97,10.14,8.23,7.9,8.02,8.97,7.25,9.28,6.87,7.9,10.01,10.09,7.66,8.49,10.5
06.05.1611:11:08,782,2.57,12.5,11.19,10.69,12.71,7.81,7.76,9.66,12.93,10.14,8.28,7.9,7.97,8.95,7.28,9.35,6.81,7.87,9.85,9.96,7.54,8.49,10.46
06.05.1611:11:23,797,2.57,12.48,11.14,10.68,12.67,7.78,7.7,9.65,12.95,10.09,8.23,7.91,7.96,8.92,7.25,9.28,6.72,7.84,9.84,9.98,7.61,8.55,10.45
06.05.1611:11:38,812,2.57,12.55,11.17,10.68,12.69,7.73,7.73,9.6,12.97,10.08,8.32,7.9,7.97,8.97,7.15,9.35,6.72,7.82,9.95,10.06,7.54,8.49,10.42
06.05.1611:11:53,827,2.58,12.53,11.1,10.68,12.69,7.72,7.7,9.61,12.95,10.04,8.26,7.88,7.94,8.92,7.12,9.27,6.62,7.85,9.84,10,7.54,8.49,10.43
06.05.1611:12:08,842,2.58,12.57,11.17,10.68,12.72,7.73,7.7,9.61,12.97,10.03,8.23,7.88,7.93,8.89,7.07,9.35,6.69,7.81,9.84,9.96,7.55,8.46,10.43
06.05.1611:12:23,857,2.56,12.57,11.12,10.64,12.72,7.69,7.63,9.58,12.95,10.01,8.25,7.87,7.81,8.8,7.13,9.24,6.56,7.82,9.84,10.06,7.37,8.48,10.4
06.05.1611:12:38,872,2.58,12.6,11.15,10.66,12.71,7.67,7.64,9.58,12.95,9.98,8.25,7.87,7.9,8.77,7.09,9.33,6.63,7.72,9.85,10,7.46,8.41,10.43
06.05.1611:12:53,887,2.57,12.64,11.15,10.68,12.71,7.64,7.63,9.58,12.97,9.98,8.2,7.87,7.75,8.81,7.07,9.36,6.55,7.64,9.88,10.08,7.46,8.34,10.45
06.05.1611:13:08,902,2.55,12.64,11.15,10.69,12.67,7.63,7.6,9.52,12.97,9.92,8.22,7.84,7.76,8.77,7.02,9.31,6.47,7.75,9.82,10,7.4,8.43,10.35
06.05.1611:13:23,917,2.6,12.6,11.17,10.66,12.69,7.63,7.6,9.52,12.97,9.93,8.22,7.84,7.78,8.8,7.02,9.3,6.46,7.66,9.88,10.04,7.39,8.49,10.37
06.05.1611:13:38,932,2.57,12.67,11.14,10.64,12.71,7.58,7.55,9.52,12.97,9.88,8.03,7.82,7.78,8.75,6.87,9.27,6.4,7.69,9.84,10.01,7.4,8.29,10.32
06.05.1611:13:53,947,2.57,12.69,11.14,10.66,12.65,7.55,7.57,9.5,12.93,9.88,8.14,7.84,7.72,8.74,6.99,9.41,6.37,7.58,9.95,10.03,7.34,8.44,10.38
06.05.1611:14:08,962,2.58,12.71,11.14,10.64,12.71,7.54,7.51,9.52,12.95,9.87,8.06,7.84,7.72,8.77,6.85,9.41,6.46,7.66,9.87,9.96,7.31,8.44,10.38
06.05.1611:14:23,977,2.58,12.72,11.14,10.66,12.69,7.51,7.52,9.52,12.93,9.84,8.02,7.82,7.7,8.77,6.85,9.35,6.34,7.67,9.9,9.98,7.28,8.35,10.4
06.05.1611:14:38,992,2.55,12.71,11.17,10.66,12.71,7.43,7.46,9.49,12.93,9.85,8.11,7.79,7.64,8.77,6.88,9.38,6.3,7.54,9.79,9.9,7.3,8.32,10.33
06.05.1611:14:53,1007,2.58,12.76,11.15,10.68,12.67,7.43,7.52,9.5,12.97,9.84,8.03,7.81,7.63,8.66,6.81,9.33,6.36,7.61,9.84,9.96,7.36,8.4,10.46
06.05.1611:15:08,1022,2.58,12.77,11.14,10.66,12.69,7.4,7.45,9.46,12.97,9.8,8.12,7.79,7.67,8.6,6.78,9.41,6.3,7.54,9.84,10,7.18,8.28,10.35
06.05.1611:15:23,1037,2.55,12.79,11.15,10.64,12.65,7.37,7.42,9.46,12.93,9.77,8.02,7.75,7.6,8.6,6.8,9.36,6.2,7.57,9.77,9.98,7.24,8.32,10.4
06.05.1611:15:38,1052,2.58,12.81,11.12,10.68,12.67,7.39,7.39,9.46,12.95,9.77,7.96,7.78,7.51,8.64,6.71,9.42,6.21,7.45,9.82,9.98,7.16,8.25,10.45
06.05.1611:15:53,1067,2.57,12.83,11.15,10.64,12.69,7.36,7.34,9.38,12.95,9.74,7.93,7.73,7.6,8.69,6.71,9.39,6.19,7.34,9.73,9.84,7.1,8.26,10.35
06.05.1611:16:08,1082,2.57,12.86,11.15,10.63,12.65,7.33,7.36,9.41,12.93,9.71,8.02,7.76,7.52,8.63,6.74,9.3,6.13,7.48,9.74,9.95,7.19,8.28,10.4
06.05.1611:16:23,1097,2.57,12.86,11.15,10.64,12.6,7.31,7.33,9.42,12.93,9.71,7.97,7.75,7.52,8.57,6.66,9.33,6.14,7.51,9.77,9.93,7.19,8.23,10.32
06.05.1611:16:38,1112,2.6,12.9,11.19,10.64,12.64,7.28,7.31,9.41,12.97,9.69,7.97,7.73,7.46,8.64,6.58,9.36,6.11,7.31,9.8,9.92,7.07,8.23,10.37
06.05.1611:16:53,1127,2.58,12.88,11.14,10.58,12.65,7.28,7.3,9.38,12.93,9.66,7.91,7.72,7.37,8.63,6.59,9.35,6.07,7.3,9.74,9.87,7.06,8.25,10.33
06.05.1611:17:08,1142,2.57,12.86,11.12,10.63,12.62,7.27,7.24,9.36,12.93,9.61,7.81,7.67,7.45,8.61,6.53,9.38,6.03,7.18,9.71,9.88,7.07,8.15,10.27
06.05.1611:17:23,1157,2.57,12.84,11.12,10.59,12.58,7.22,7.22,9.36,12.93,9.57,7.91,7.69,7.4,8.51,6.58,9.27,5.93,7.33,9.68,9.82,7.03,8.22,10.37
06.05.1611:17:38,1172,2.57,12.93,11.12,10.63,12.65,7.22,7.24,9.35,12.93,9.57,7.81,7.67,7.3,8.54,6.49,9.35,5.93,7.28,9.68,9.87,7.02,8.2,10.32
06.05.1611:17:53,1187,2.57,12.95,11.14,10.63,12.62,7.21,7.21,9.3,12.93,9.55,7.81,7.67,7.36,8.55,6.43,9.31,5.93,7.16,9.69,9.82,6.97,8.14,10.33
06.05.1611:18:08,1202,2.57,12.9,11.12,10.61,12.65,7.15,7.15,9.3,12.91,9.54,7.73,7.64,7.25,8.52,6.45,9.3,5.93,7.18,9.6,9.85,6.97,8.05,10.24
06.05.1611:18:23,1217,2.58,12.95,11.14,10.58,12.6,7.16,7.15,9.28,12.91,9.52,7.75,7.66,7.31,8.52,6.37,9.27,5.81,7.15,9.63,9.88,6.81,8.06,10.25
06.05.1611:18:39,1233,2.57,12.98,11.1,10.59,12.62,7.1,7.16,9.27,12.93,9.49,7.76,7.66,7.18,8.49,6.34,9.27,5.76,7.07,9.61,9.84,6.85,7.94,10.24
06.05.1611:18:54,1248,2.57,12.97,11.1,10.59,12.6,7.06,7.1,9.24,12.9,9.49,7.76,7.64,7.27,8.48,6.37,9.27,5.76,7.05,9.58,9.77,6.75,8.03,10.29
06.05.1611:19:09,1263,2.57,13,11.14,10.61,12.64,7.09,7.07,9.22,12.9,9.5,7.78,7.67,7.19,8.51,6.29,9.33,5.8,7.05,9.68,9.82,6.74,8.03,10.3
06.05.1611:19:24,1278,2.56,13.02,11.12,10.58,12.6,7.06,7.12,9.2,12.88,9.49,7.78,7.66,7.22,8.4,6.33,9.27,5.67,7.05,9.6,9.77,6.85,8.05,10.25
06.05.1611:19:39,1293,2.56,13.05,11.12,10.55,12.62,7.02,7.09,9.2,12.9,9.44,7.64,7.64,7.19,8.4,6.3,9.3,5.74,7.03,9.68,9.71,6.77,8.03,10.37
06.05.1611:19:54,1308,2.57,13.05,11.1,10.58,12.62,7,7.02,9.22,12.9,9.46,7.64,7.64,7.12,8.4,6.24,9.36,5.64,7.05,9.69,9.76,6.8,7.93,10.33
06.05.1611:20:09,1323,2.57,13.07,11.09,10.58,12.6,6.96,7,9.17,12.91,9.42,7.75,7.66,7.12,8.41,6.27,9.25,5.66,6.94,9.5,9.65,6.8,7.96,10.3
06.05.1611:20:24,1338,2.58,13.07,11.1,10.56,12.58,6.93,7.02,9.19,12.91,9.39,7.61,7.66,7,8.32,6.29,9.33,5.56,6.99,9.6,9.69,6.71,7.99,10.25
06.05.1611:20:39,1353,2.55,13.09,11.1,10.58,12.6,6.9,6.99,9.17,12.9,9.38,7.69,7.61,7.02,8.4,6.2,9.33,5.51,6.96,9.57,9.76,6.78,7.84,10.25
06.05.1611:20:54,1368,2.56,13.1,11.1,10.59,12.57,6.88,6.96,9.17,12.91,9.39,7.6,7.6,6.99,8.29,6.2,9.31,5.58,7,9.61,9.68,6.66,7.91,10.32
06.05.1611:21:09,1383,2.56,13.14,11.1,10.58,12.58,6.9,6.91,9.16,12.9,9.35,7.67,7.61,6.93,8.34,6.14,9.38,5.54,6.94,9.66,9.79,6.66,7.82,10.33
06.05.1611:21:24,1398,2.57,13.12,11.09,10.59,12.62,6.85,6.88,9.13,12.91,9.36,7.57,7.63,6.91,8.28,6.17,9.39,5.43,6.91,9.58,9.69,6.62,7.91,10.3
06.05.1611:21:39,1413,2.58,13.17,11.09,10.58,12.58,6.81,6.87,9.16,12.9,9.35,7.6,7.64,6.94,8.34,6.13,9.3,5.47,6.93,9.52,9.73,6.58,7.9,10.25
06.05.1611:21:54,1428,2.58,13.21,11.12,10.58,12.6,6.81,6.87,9.13,12.88,9.33,7.52,7.61,6.87,8.29,6.04,9.27,5.37,6.82,9.58,9.73,6.56,7.82,10.19
06.05.1611:22:09,1443,2.57,13.16,11.09,10.56,12.58,6.78,6.82,9.13,12.88,9.31,7.52,7.63,6.82,8.25,5.97,9.3,5.37,6.8,9.49,9.76,6.59,7.81,10.25
06.05.1611:22:24,1458,2.58,13.19,11.12,10.61,12.6,6.77,6.82,9.11,12.9,9.33,7.49,7.61,6.82,8.28,5.97,9.27,5.39,6.74,9.58,9.74,6.59,7.69,10.16
06.05.1611:22:39,1473,2.56,13.23,11.1,10.58,12.6,6.75,6.8,9.11,12.9,9.3,7.54,7.6,6.77,8.23,5.97,9.38,5.34,6.74,9.44,9.76,6.5,7.7,10.24
06.05.1611:22:54,1488,2.58,13.24,11.12,10.59,12.6,6.74,6.8,9.1,12.9,9.3,7.49,7.54,6.74,8.31,5.97,9.28,5.34,6.65,9.55,9.66,6.43,7.79,10.16
06.05.1611:23:09,1503,2.58,13.24,11.1,10.58,12.58,6.71,6.77,9.06,12.88,9.24,7.55,7.57,6.71,8.26,5.9,9.31,5.27,6.71,9.47,9.68,6.55,7.69,10.19
06.05.1611:23:24,1518,2.57,13.23,11.12,10.55,12.57,6.66,6.74,9.08,12.9,9.22,7.43,7.52,6.77,8.17,5.88,9.25,5.25,6.69,9.49,9.73,6.5,7.73,10.25
06.05.1611:23:39,1533,2.57,13.28,11.12,10.56,12.58,6.61,6.69,9.06,12.88,9.2,7.52,7.55,6.62,8.26,5.84,9.36,5.2,6.61,9.46,9.6,6.49,7.78,10.29
06.05.1611:23:54,1548,2.57,13.3,11.1,10.55,12.6,6.62,6.69,9.06,12.9,9.19,7.45,7.54,6.63,8.18,5.87,9.36,5.26,6.56,9.35,9.63,6.46,7.73,10.22
06.05.1611:24:09,1563,2.58,13.31,11.1,10.58,12.6,6.61,6.71,9.05,12.88,9.19,7.48,7.52,6.59,8.14,5.77,9.25,5.2,6.52,9.44,9.66,6.39,7.67,10.21
06.05.1611:24:24,1578,2.58,13.33,11.1,10.58,12.57,6.58,6.66,9.03,12.86,9.16,7.42,7.54,6.59,8.08,5.77,9.31,5.19,6.56,9.38,9.76,6.39,7.69,10.29
06.05.1611:24:39,1593,2.56,13.37,11.12,10.56,12.62,6.56,6.66,9.03,12.9,9.17,7.34,7.55,6.59,8.18,5.76,9.35,5.09,6.55,9.39,9.76,6.31,7.58,10.16
06.05.1611:24:54,1608,2.56,13.33,11.07,10.58,12.55,6.52,6.63,9,12.86,9.14,7.43,7.52,6.55,8.09,5.68,9.27,5.15,6.45,9.33,9.71,6.29,7.64,10.21
06.05.1611:25:09,1623,2.58,13.35,11.07,10.55,12.58,6.5,6.62,8.99,12.88,9.14,7.31,7.51,6.5,8.05,5.66,9.33,5.11,6.42,9.31,9.57,6.29,7.6,10.19
06.05.1611:25:24,1638,2.58,13.33,11.12,10.58,12.6,6.5,6.56,8.99,12.9,9.19,7.37,7.51,6.5,8.08,5.6,9.35,5.09,6.49,9.42,9.68,6.31,7.63,10.19
06.05.1611:25:39,1653,2.58,13.35,11.1,10.56,12.58,6.46,6.58,8.97,12.86,9.14,7.28,7.51,6.52,8.11,5.67,9.24,4.99,6.49,9.31,9.69,6.33,7.55,10.24
06.05.1611:25:54,1668,2.57,13.4,11.1,10.56,12.55,6.46,6.53,8.92,12.9,9.14,7.33,7.49,6.46,8.05,5.63,9.28,5.02,6.43,9.33,9.69,6.21,7.58,10.13
06.05.1611:26:09,1683,2.58,13.4,11.1,10.58,12.58,6.42,6.5,8.95,12.91,9.11,7.31,7.49,6.4,7.96,5.6,9.35,5.01,6.49,9.46,9.71,6.21,7.48,10.13
06.05.1611:26:24,1698,2.58,13.44,11.12,10.55,12.58,6.39,6.47,8.91,12.86,9.11,7.22,7.48,6.37,8.12,5.53,9.31,4.95,6.33,9.31,9.63,6.2,7.49,10.09
06.05.1611:26:39,1713,2.58,13.47,11.1,10.55,12.57,6.36,6.5,8.91,12.9,9.1,7.19,7.46,6.46,8.03,5.51,9.33,4.88,6.36,9.35,9.58,6.2,7.55,10.09
06.05.1611:26:54,1728,2.58,13.45,11.14,10.56,12.58,6.34,6.46,8.89,12.9,9.06,7.22,7.48,6.37,8.05,5.43,9.28,4.84,6.33,9.35,9.66,6.21,7.57,10.17
06.05.1611:27:09,1743,2.57,13.44,11.12,10.53,12.55,6.33,6.45,8.88,12.9,9.08,7.27,7.46,6.3,8.08,5.43,9.3,4.74,6.33,9.25,9.66,6.23,7.43,10.14
06.05.1611:27:24,1758,2.58,13.47,11.09,10.51,12.55,6.29,6.4,8.89,12.86,9.06,7.22,7.45,6.29,8,5.36,9.22,4.8,6.23,9.3,9.57,6.1,7.42,10.04
06.05.1611:27:39,1773,2.6,13.47,11.09,10.53,12.53,6.26,6.4,8.86,12.83,9.03,7.1,7.45,6.33,7.87,5.32,9.31,4.72,6.21,9.31,9.52,6.06,7.42,10.09
06.05.1611:27:54,1788,2.57,13.47,11.12,10.53,12.5,6.27,6.36,8.83,12.9,9.02,7.06,7.45,6.23,7.88,5.3,9.25,4.76,6.23,9.28,9.57,6.1,7.45,10.04
06.05.1611:28:09,1803,2.58,13.51,11.1,10.53,12.52,6.24,6.33,8.81,12.88,9,7.09,7.45,6.24,7.96,5.32,9.2,4.7,6.11,9.27,9.57,6.07,7.36,10.06
06.05.1611:28:24,1818,2.57,13.54,11.09,10.5,12.57,6.19,6.3,8.83,12.9,9,7.18,7.46,6.2,7.87,5.25,9.24,4.68,6.19,9.28,9.46,6,7.39,9.98
06.05.1611:28:39,1833,2.57,13.53,11.07,10.48,12.52,6.19,6.3,8.78,12.86,8.97,7.05,7.4,6.24,7.87,5.2,9.28,4.62,6.04,9.19,9.54,5.98,7.24,10.06
06.05.1611:28:54,1848,2.58,13.54,11.05,10.51,12.55,6.17,6.29,8.81,12.88,8.97,7.15,7.43,6.11,7.91,5.25,9.22,4.55,6.08,9.16,9.49,5.97,7.28,10.09
06.05.1611:29:09,1863,2.58,13.54,11.09,10.53,12.52,6.16,6.27,8.77,12.88,8.95,7.03,7.42,6.14,7.9,5.19,9.33,4.58,6.01,9.16,9.57,5.87,7.31,10.09
06.05.1611:29:24,1878,2.56,13.54,11.05,10.5,12.53,6.13,6.23,8.74,12.86,8.92,6.97,7.4,6.13,7.87,5.22,9.25,4.57,5.98,9.24,9.44,5.93,7.28,10.04
06.05.1611:29:39,1893,2.58,13.6,11.07,10.5,12.5,6.13,6.23,8.71,12.86,8.95,6.99,7.39,6.14,7.78,5.22,9.19,4.54,5.96,9.27,9.46,5.97,7.19,10.09
06.05.1611:29:54,1908,2.57,13.56,11.1,10.53,12.53,6.1,6.21,8.71,12.86,8.91,7.06,7.36,6.06,7.82,5.12,9.27,4.44,5.94,9.17,9.57,5.83,7.19,10.04
06.05.1611:30:09,1923,2.56,13.6,11.09,10.51,12.55,6.08,6.19,8.72,12.86,8.91,6.97,7.36,6.07,7.84,5.08,9.28,4.41,5.93,9.24,9.52,5.8,7.18,10.03
06.05.1611:30:24,1938,2.58,13.61,11.07,10.5,12.53,6.07,6.16,8.71,12.86,8.89,6.94,7.33,5.96,7.78,5.02,9.27,4.46,5.88,9.17,9.54,5.9,7.21,10.06
06.05.1611:30:39,1953,2.57,13.63,11.07,10.48,12.52,6.06,6.11,8.71,12.88,8.88,7,7.34,5.94,7.73,4.99,9.24,4.37,5.86,9.06,9.49,5.86,7.21,10.08
06.05.1611:30:54,1968,2.57,13.63,11.07,10.5,12.48,6.04,6.1,8.69,12.84,8.86,6.85,7.31,5.98,7.67,4.97,9.2,4.32,5.88,9.06,9.57,5.81,7.1,10.03
