photo,UniqueID,date,type,Area,Angle,Length,treatment,temperature,replicate
385,5,May3,size,0.0001276,-32.471,0.07,FULL,20,5
385,5,May3,size,0.000134,105.751,0.073,FULL,20,5
385,5,May3,size,0.0001276,-78.111,0.069,FULL,20,5
385,5,May3,size,0.0003127,-155.556,0.174,FULL,20,5
385,5,May3,size,0.0003478,-12.355,0.192,FULL,20,5
385,5,May3,size,0.0002457,-76.329,0.136,FULL,20,5
385,5,May3,size,0.0004053,-160.408,0.224,FULL,20,5
385,5,May3,size,0.0003829,127.833,0.212,FULL,20,5
385,5,May3,size,0.0003096,-169.271,0.172,FULL,20,5
385,5,May3,size,0.0003829,119.805,0.212,FULL,20,5
385,5,May3,size,0.0001372,-150.422,0.075,FULL,20,5
385,5,May3,size,0.0003829,80.38,0.213,FULL,20,5
385,5,May3,size,0.0003255,-76.792,0.18,FULL,20,5
385,5,May3,size,0.0001979,30.801,0.109,FULL,20,5
385,5,May3,size,0.0002074,-36.69,0.114,FULL,20,5
385,5,May3,size,0.0002617,-27.824,0.145,FULL,20,5
385,5,May3,size,0.0002936,-47.684,0.162,FULL,20,5
385,5,May3,size,0.0002776,21.801,0.154,FULL,20,5
385,5,May3,size,0.0003319,6.096,0.184,FULL,20,5
385,5,May3,size,0.0003287,-28.339,0.182,FULL,20,5
385,5,May3,size,0.0001915,-3.945,0.105,FULL,20,5
385,5,May3,size,0.0003574,-147.45,0.198,FULL,20,5
385,5,May3,size,0.0003893,13.349,0.217,FULL,20,5
385,5,May3,size,0.0003319,142.907,0.184,FULL,20,5
385,5,May3,size,0.0003798,12.633,0.211,FULL,20,5
385,5,May3,size,0.0003191,-42.117,0.177,FULL,20,5
385,5,May3,size,0.0003064,70.994,0.17,FULL,20,5
385,5,May3,size,0.0002649,-38.991,0.146,FULL,20,5
385,5,May3,size,0.0003096,-51.71,0.172,FULL,20,5
385,5,May3,size,0.0003766,0.971,0.21,FULL,20,5
385,5,May3,size,0.0002744,23.552,0.152,FULL,20,5
385,5,May3,size,0.0003829,133.636,0.212,FULL,20,5
385,5,May3,size,0.0003032,-108.048,0.168,FULL,20,5
385,5,May3,size,3e-04,-57.339,0.166,FULL,20,5
385,5,May3,size,0.0002617,133.506,0.145,FULL,20,5
385,5,May3,size,0.0003893,-118.045,0.216,FULL,20,5
385,5,May3,size,0.0003032,139.728,0.167,FULL,20,5
